file,bugID
org.eclipse.jdt.core\antadapter\Attic\JDTCompilerAdapter.java,15244
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,310330
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,310330
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,165976
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,161975
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,161980
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,106631
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,133748
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,133748
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,131373
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,104536
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,112418
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,48976
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,97744
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,96605
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,66533
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,69931
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,69931
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,62952
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,57117
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,43907
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,43842
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,43600
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,37779
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,35237
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,28069
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,25495
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,25347
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,24134
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,20215
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,25495
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,25347
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,25551
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,17422
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\internal\antadapter\Attic\Messages.java,37779
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,285466
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,285466
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,285466
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,285466
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,161975
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,161980
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,126803
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,92398
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,272450
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,286840
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,265103
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,161975
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,161980
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,126803
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,92398
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathLocation.java,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathLocation.java,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathLocation.java,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathLocation.java,92398
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathSourceJar.java,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathSourceJar.java,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathSourceJar.java,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\CompilationUnit.java,126803
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\CompilationUnit.java,22358
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\CompilationUnit.java,9912
