file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#ant#org#eclipse#jdt#core#ant#Attic#Jdtcom.java,org.eclipse.jdt.core.ant.jdtcom,class,18,60,2,19,0,18,0,18,0,0,0,0,0,0,4,0,0,4,0,0,0,0,11,170,2,5,6,2,0,49,5,19,2,17,3,0,0,0,60,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#ant#org#eclipse#jdt#internal#core#ant#Attic#Jdtcom.java,org.eclipse.jdt.internal.core.ant.jdtcom,class,18,60,2,19,0,18,0,18,0,0,0,0,0,0,4,0,0,4,0,0,0,0,11,170,2,5,6,2,0,49,5,19,2,17,3,0,0,0,60,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#ant#org#eclipse#jdt#internal#core#ant#Attic#Util.java,org.eclipse.jdt.internal.core.ant.util,class,5,14,1,12,8,5,5,5,0,0,0,0,0,0,2,2,0,1,1,0,1,0,4,60,7,1,2,2,2,6,10,12,7,8,4,0,0,0,39,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#antadapter#Attic#JDTCompilerAdapter.java,org.eclipse.jdt.internal.core.jdtcompileradapter,class,9,14,2,18,1,2,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,90,1,0,1,0,0,19,1,6,1,5,2,0,0,0,38,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#antadapter#org#eclipse#jdt#core#CheckDebugAttributes.java,org.eclipse.jdt.core.checkdebugattributes,class,12,15,2,14,2,4,0,3,1,0,0,0,0,0,2,0,0,2,0,0,0,0,4,66,2,2,2,2,0,5,1,15,1,12,4,0,0,0,62,17
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#antadapter#org#eclipse#jdt#core#JDTCompilerAdapter.java,org.eclipse.jdt.core.jdtcompileradapter,class,6,2,2,1,1,2,0,1,0,1,0,0,0,0,10,5,0,8,0,0,4,0,0,392,0,0,0,0,0,4,0,8,0,10,0,0,0,0,68,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#antadapter#org#eclipse#jdt#internal#antadapter#AntAdapterMessages.java,org.eclipse.jdt.internal.antadapter.antadaptermessages,class,5,7,1,6,1,3,2,2,1,0,0,0,0,0,2,2,0,2,0,0,1,0,0,35,4,0,0,3,0,3,0,4,3,4,1,0,0,0,14,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#antadapter#org#eclipse#jdt#internal#antadapter#Attic#Messages.java,org.eclipse.jdt.internal.antadapter.messages,class,6,7,1,6,1,3,2,2,1,0,0,0,0,0,3,2,0,2,0,0,1,0,0,38,4,0,0,3,0,3,0,4,3,5,1,0,0,0,16,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#antadapter#org#eclipse#jdt#internal#antadapter#Attic#Util.java,org.eclipse.jdt.internal.antadapter.util,class,6,7,1,6,1,3,2,2,1,0,0,0,0,0,3,2,0,2,0,0,1,0,0,38,4,0,0,3,0,3,0,4,3,5,1,0,0,0,16,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#batch#org#eclipse#jdt#core#compiler#batch#BatchCompiler.java,org.eclipse.jdt.core.compiler.batch.batchcompiler,class,4,3,1,2,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,82,17
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#batch#org#eclipse#jdt#internal#compiler#batch#ClasspathDirectory.java,org.eclipse.jdt.internal.compiler.batch.classpathdirectory,class,17,44,2,28,70,13,0,10,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,157,22,3,8,2,6,1,14,36,10,28,3,1,0,0,64,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#batch#org#eclipse#jdt#internal#compiler#batch#ClasspathJar.java,org.eclipse.jdt.internal.compiler.batch.classpathjar,class,24,44,2,38,0,11,0,11,0,0,0,0,0,0,4,0,0,0,4,0,0,0,6,172,14,5,6,5,2,2,13,38,4,30,4,0,0,0,58,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#batch#org#eclipse#jdt#internal#compiler#batch#ClasspathLocation.java,org.eclipse.jdt.internal.compiler.batch.classpathlocation,class,7,4,1,5,0,2,0,0,0,2,0,0,0,0,6,2,4,0,0,0,2,0,1,31,2,0,2,0,0,0,3,5,1,7,1,0,0,0,42,1025
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#batch#org#eclipse#jdt#internal#compiler#batch#ClasspathSourceJar.java,org.eclipse.jdt.internal.compiler.batch.classpathsourcejar,class,11,7,3,9,1,3,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,47,4,0,0,2,0,0,5,6,4,4,3,0,0,0,24,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#batch#org#eclipse#jdt#internal#compiler#batch#CompilationUnit.java,org.eclipse.jdt.internal.compiler.batch.compilationunit,class,8,14,1,6,0,7,0,7,0,0,0,0,0,0,5,0,4,0,0,0,0,0,7,64,6,0,1,1,0,2,4,10,2,8,1,0,0,0,21,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#batch#org#eclipse#jdt#internal#compiler#batch#FileFinder.java,org.eclipse.jdt.internal.compiler.batch.filefinder,class,7,7,1,10,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,2,1,1,0,0,0,1,6,0,6,4,0,0,0,14,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#batch#org#eclipse#jdt#internal#compiler#batch#FileSystem.java,org.eclipse.jdt.internal.compiler.batch.filesystem,class,16,75,1,30,36,13,3,9,3,1,0,0,0,0,2,0,0,0,0,0,0,0,15,281,19,11,18,3,8,0,31,74,7,55,5,0,3,0,146,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#batch#org#eclipse#jdt#internal#compiler#batch#Main.java,org.eclipse.jdt.internal.compiler.batch.main,class,59,479,1,129,1326,56,7,30,10,15,0,0,0,0,49,6,37,6,2,0,6,0,35,3768,115,33,31,9,14,149,129,314,22,224,6,5,2,0,495,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#codeassist#org#eclipse#jdt#internal#codeassist#Attic#ICompletionRequestor.java,org.eclipse.jdt.internal.codeassist.icompletionrequestor,interface,2,13,1,0,78,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,152,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#codeassist#org#eclipse#jdt#internal#codeassist#Attic#ISearchableNameEnvironment.java,org.eclipse.jdt.internal.codeassist.isearchablenameenvironment,interface,3,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,78,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#codeassist#org#eclipse#jdt#internal#codeassist#complete#Attic#CompletionOnBrankStatementLabel.java,org.eclipse.jdt.internal.codeassist.complete.completiononbrankstatementlabel,class,7,4,4,0,6,4,0,4,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,34,1,0,0,0,0,0,0,2,0,2,0,0,0,0,15,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#codeassist#org#eclipse#jdt#internal#codeassist#complete#Attic#CompletionOnClassReference.java,org.eclipse.jdt.internal.codeassist.complete.completiononclassreference,class,3,2,7,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#codeassist#org#eclipse#jdt#internal#codeassist#complete#Attic#CompletionOnExceptionReference.java,org.eclipse.jdt.internal.codeassist.complete.completiononexceptionreference,class,3,2,7,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1
