className,loc,anonymousClassesQty,numOfStaticMethod,numOfStaticField,numOfMethod,numOfField,methodTotalLoc,methodMaxLoc,methodAverageLoc,totalNestedBlockDepth,maxNestedBlockDepth,averageNestedBlockDepth,totalParameters,maxParameters,averageParameters,totalMcCabe,maxMcCabe,averageMcCabe,totalFanOut,maxFanOut,averageFanOut
org.eclipse.jdt.internal.compiler.lookup.MethodVerifier,478,0,0,0,32,6,429,106,13.41,32,6,1.0,47,4,1.47,183,42,5.72,134,20,4.19
org.eclipse.jdt.core.IClassFile,10,0,0,0,6,0,6,1,1.0,-6,-1,-1.0,5,2,0.83,6,1,1.0,0,0,0.0
org.eclipse.jdt.core.search.TypeNameRequestor,5,0,0,0,1,0,2,2,2.0,0,0,0.0,5,5,5.0,1,1,1.0,0,0,0.0
org.eclipse.jdt.internal.compiler.flow.InsideSubRoutineFlowContext,34,0,0,0,6,1,27,9,4.5,1,1,0.17,3,2,0.5,8,3,1.33,10,4,1.67
org.eclipse.jdt.internal.core.RenameElementsOperation,39,0,0,0,5,0,24,8,4.8,0,0,0.0,5,4,1.0,14,7,2.8,8,5,1.6
org.eclipse.jdt.core.dom.ThisExpression,71,0,1,2,12,3,55,12,4.58,3,2,0.25,11,3,0.92,16,3,1.33,20,6,1.67
org.eclipse.jdt.core.CompletionContext,10,0,0,0,2,0,6,3,3.0,0,0,0.0,0,0,0.0,2,1,1.0,0,0,0.0
org.eclipse.jdt.core.dom.Expression,18,0,0,0,5,0,15,3,3.0,0,0,0.0,1,1,0.2,5,1,1.0,8,2,1.6
org.eclipse.jdt.internal.compiler.ast.SuperReference,40,0,1,0,8,0,32,10,4.0,1,1,0.13,7,2,0.88,10,3,1.25,8,5,1.0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnFieldType,20,0,0,0,2,1,14,11,7.0,1,1,0.5,4,2,2.0,3,2,1.5,2,2,1.0
org.eclipse.jdt.internal.core.dom.rewrite.Indents,211,0,14,0,15,0,201,38,13.4,16,3,1.07,42,6,2.8,48,10,3.2,47,11,3.13
org.eclipse.jdt.core.dom.MemberRef,110,0,1,3,15,5,90,21,6.0,7,3,0.47,12,3,0.8,25,5,1.67,33,8,2.2
org.eclipse.jdt.core.dom.BindingResolver,125,0,0,0,41,0,119,3,2.9,0,0,0.0,41,2,1.0,41,1,1.0,0,0,0.0
