fileName,numOfClass,numOfInterface,loc,anonymousClassesQty,numOfStaticMethod,numOfStaticField,numOfMethod,numOfField,methodTotalLoc,methodMaxLoc,methodAverageLoc,totalNestedBlockDepth,maxNestedBlockDepth,averageNestedBlockDepth,totalParameters,maxParameters,averageParameters,totalMcCabe,maxMcCabe,averageMcCabe,totalFanOut,maxFanOut,averageFanOut
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\core\ITypeHierarchyChangedListener.java,0,1,4,0,0,0,1,0,1,1,1.0,-1,-1,-1.0,1,1,1.0,1,1,1.0,0,0,0.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\ClassLiteralAccess.java,1,0,82,0,0,0,6,3,63,33,10.5,5,2,0.83,13,3,2.17,18,8,3.0,26,12,4.33
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\codegen\ExceptionLabel.java,1,0,61,0,0,0,5,3,56,27,11.2,5,3,1.0,2,2,0.4,16,8,3.2,15,12,3.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\SearchableEnvironmentRequestor.java,1,0,65,0,0,0,5,5,44,25,8.8,4,4,0.8,8,4,1.6,13,9,2.6,20,15,4.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\matching\JavaSearchPattern.java,1,0,317,0,1,3,18,11,282,67,15.67,13,4,0.72,9,2,0.5,95,23,5.28,39,15,2.17
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\JavadocArgumentExpression.java,1,0,91,0,0,0,8,2,80,34,10.0,12,5,1.5,14,4,1.75,29,15,3.63,26,15,3.25
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\complete\CompletionOnJavadocParamNameReference.java,1,0,29,0,0,0,6,3,20,5,3.33,0,0,0.0,9,4,1.5,7,2,1.17,3,3,0.5
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\TagElement.java,1,0,106,0,1,22,15,24,68,12,4.53,4,2,0.27,12,3,0.8,19,3,1.27,24,8,1.6
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\ProblemMethodBinding.java,1,0,26,0,0,0,4,2,21,7,5.25,0,0,0.0,11,4,2.75,8,3,2.0,0,0,0.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\core\util\IVerificationTypeInfo.java,0,1,16,0,0,9,4,9,4,1,1.0,-4,-1,-1.0,0,0,0.0,4,1,1.0,0,0,0.0
