"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
512739,"JDT","Core","sxenos","VERIFIED","FIXED","[newindex] ArithmeticException during ""Updating Java index"".","2017-03-19 15:37:51"
528905,"JDT","Core","jdt-core-inbox","RESOLVED","FIXED","JDT UI Gerrit failing with ""invalid location for system libraries"" error","2018-01-17 11:10:27"
11201,"JDT","Core","philippe_mulet","RESOLVED","WORKSFORME","ClassCastException during build process","2002-03-15 11:43:45"
40495,"JDT","Core","Olivier_Thomann","VERIFIED","FIXED","VerifyError with return statements containing a cast expression","2003-07-18 17:31:44"
9785,"JDT","Core","david_audel","RESOLVED","DUPLICATE","Problem in IType.resolveType()","2002-02-14 09:12:27"
36465,"JDT","Core","philippe_mulet","CLOSED","FIXED","Unable to create multiple source folders when not using bin for output","2011-08-11 06:41:30"
101453,"JDT","Core","Olivier_Thomann","VERIFIED","FIXED","java.lang.UnsupportedOperationException: Operation only supported in JLS2 AST","2005-06-27 18:17:27"
551368,"JDT","Core","Olivier_Thomann","RESOLVED","FIXED","VerifyError with latest jdt.core code on master","2019-09-28 15:52:24"
26098,"JDT","Core","philippe_mulet","VERIFIED","FIXED","Wrong line number attribute.","2002-11-15 10:33:54"
7029,"JDT","Core","philippe_mulet","RESOLVED","DUPLICATE","Renaming a Java project doesn't refresh the packages view","2002-01-11 08:56:28"
13852,"JDT","Core","philippe_mulet","VERIFIED","DUPLICATE","Cannot generate EJB inheritance deployed code without debug info","2002-06-03 07:33:13"
16436,"JDT","Core","kent_johnson","RESOLVED","WORKSFORME","CoreException importing org.eclipse.ui.win32","2002-05-27 08:30:07"
404489,"JDT","Core","manpalat","RESOLVED","FIXED","[1.8][dom ast] Incorrect conversion of JSR308 TYPE_USE annotations on qualified name","2013-05-02 05:53:34"
73969,"JDT","Core","jdt-core-inbox","VERIFIED","FIXED","Full build on startup","2005-05-27 10:33:52"
277669,"JDT","Core","Olivier_Thomann","CLOSED","FIXED","IBinding.getJavaElement() returns 'null' where it should not","2009-05-28 08:14:48"
177819,"JDT","Core","jerome_lanneluc","VERIFIED","FIXED","Jar files added to a plugin are ignored","2007-04-27 10:09:23"
436155,"JDT","Core","jarthana","VERIFIED","FIXED","[type hierarchy] No type hierarchy shown for org.eclipse.swt.widgets.Text","2014-07-08 05:48:57"
26747,"JDT","Core","kent_johnson","VERIFIED","FIXED","IllegalArgumentException reading build state","2002-12-17 06:41:46"
23154,"JDT","Core","philippe_mulet","RESOLVED","INVALID","Locale.getAvailableLocales() return only 2 Locales (en, en)","2003-03-23 12:16:12"
10110,"JDT","Core","kent_johnson","RESOLVED","FIXED","Project not build since it was inconsistent","2002-02-26 11:26:57"
19714,"JDT","Core","kent_johnson","VERIFIED","FIXED","Eclipse crashes: Drag & Drop","2002-06-14 05:55:09"
9169,"JDT","Core","philippe_mulet","VERIFIED","FIXED","Wrong code generation for comparison of string constants","2002-02-13 13:37:19"
27714,"JDT","Core","jerome_lanneluc","VERIFIED","FIXED","JavaElement.newNotPresentException","2002-12-17 07:08:37"
18255,"JDT","Core","Olivier_Thomann","VERIFIED","FIXED","NPE during Organize imports.... See test5 in UI tests","2002-06-03 13:42:43"
8358,"JDT","Core","jerome_lanneluc","RESOLVED","FIXED","Search: doesn't find reference although there are","2002-01-29 05:39:50"
30999,"JDT","Core","philippe_mulet","RESOLVED","DUPLICATE","Hang/Deadlock while inserting brace","2003-02-06 08:24:33"
10460,"JDT","Core","philippe_mulet","RESOLVED","WONTFIX","The Compiler can not resolve package level class","2002-03-01 04:34:06"
8812,"JDT","Core","philippe_mulet","RESOLVED","FIXED","Changing export state not propagated","2002-02-01 13:08:01"
9185,"JDT","Core","jerome_lanneluc","RESOLVED","FIXED","Severe shutdown performance problem","2002-02-12 07:51:42"
13063,"JDT","Core","Olivier_Thomann","RESOLVED","FIXED","NPE in extract method","2002-04-10 15:06:28"
12688,"JDT","Core","david_audel","RESOLVED","FIXED","NPE with code assist","2002-04-11 07:08:22"
9985,"JDT","Core","philippe_mulet","RESOLVED","FIXED","Built in compiler will sometimes not allow Object method calls on Interfaces","2003-02-17 08:19:25"
278745,"JDT","Core","kent_johnson","VERIFIED","FIXED","Methods overloaded with unavailable types worked in 3.4 but give ""indirectly referenced.."" error in 3.5","2009-09-23 14:25:57"
7034,"JDT","Core","david_audel","RESOLVED","FIXED","code assist performance problem in scrapbook","2002-01-14 09:53:37"
512749,"JDT","Core","jdt-core-inbox","REOPENED"," ---","OutOfMemoryError while building workspace","2018-05-10 13:28:04"
270409,"JDT","Core","frederic_fusier","VERIFIED","FIXED","[perfs] No JDT/Core tests results in last baseline run","2009-04-28 09:59:51"
25894,"JDT","Core","philippe_mulet","VERIFIED","FIXED","Memory leak - Global ThisReference is leaking bindings","2002-11-14 06:00:04"
47049,"JDT","Core","kent_johnson","CLOSED","FIXED","[Builder] Build output folder not getting flushed because files are not marked as derived","2005-05-24 11:23:18"
21420,"JDT","Core","jerome_lanneluc","VERIFIED","FIXED","Changing .classpath doesn't update JDT","2002-09-18 09:02:25"
10008,"JDT","Core","philippe_mulet","RESOLVED","FIXED","Internal compiler error when compiling switch statement","2002-02-21 01:22:22"
507966,"JDT","Core","sxenos","VERIFIED","FIXED","ArrayIndexOutOfBoundException from JDT index on too large workspace","2017-01-25 10:45:05"
6596,"JDT","Core","philippe_mulet","RESOLVED","FIXED","Java compiler can generate invalid bytecode","2001-12-05 17:46:39"
508079,"JDT","Core","sxenos","VERIFIED","FIXED","[newindex] Allow Database.malloc to allocate blocks that are larger than the size of a Chunk","2016-12-07 23:00:54"
9479,"JDT","Core","jerome_lanneluc","RESOLVED","FIXED","exception on package creation (discouraged name)","2002-02-25 17:46:17"
231263,"JDT","Core","frederic_fusier","VERIFIED","FIXED","[formatter] New JavaDoc formatter wrongly indent tags description","2008-05-14 02:06:18"
510461,"JDT","Core","sxenos","VERIFIED","FIXED","[newindex] Database.giveUpExclusiveLock is a severe bottleneck for large databases","2017-01-25 10:45:07"
38951,"JDT","Core","jerome_lanneluc","VERIFIED","FIXED","NPE in editor while saving contents","2003-07-17 12:25:48"
8758,"JDT","Core","philippe_mulet","RESOLVED","FIXED","null pointer exception in eclipse core while compiling Java code","2002-02-12 06:20:09"
7085,"JDT","Core","philippe_mulet","RESOLVED","FIXED","Build errors when adding the JUnit example project","2002-03-05 06:28:06"
509075,"JDT","Core","sxenos","VERIFIED","FIXED","IAE in ""Updating Java index"": Attempted to beginRule ...","2017-01-24 10:53:48"
469537,"JDT","Core","sxenos","VERIFIED","FIXED","Eclipse throws LinkageError if an annotation processor uses a class that is also used by (or part of) Eclipse","2016-01-06 05:32:33"
9351,"JDT","Core","Olivier_Thomann","RESOLVED","FIXED","Copying a compilation unit onto itself destroys compilation unit","2002-02-19 07:50:11"
102780,"JDT","Core","frederic_fusier","VERIFIED","FIXED","[formatter] CodeFormatter does not format Javadoc","2010-03-17 05:30:21"
416267,"JDT","Core","stephan.herrmann","VERIFIED","FIXED","NPE in QualifiedAllocationExpression.resolveType","2014-02-26 08:00:56"
148859,"JDT","Core","frederic_fusier","VERIFIED","FIXED","[model][delta] Package Explorer only shows default package after import","2006-09-18 10:39:01"
10616,"JDT","Core","philippe_mulet","RESOLVED","FIXED","StringIndexOutOfBoundsException opening type selection dialog","2002-03-12 12:03:06"
7583,"JDT","Core","Olivier_Thomann","RESOLVED","FIXED","DOMNode#getChild(String) needs to handle children with null names","2002-01-16 17:46:53"
9024,"JDT","Core","jerome_lanneluc","CLOSED","WONTFIX","Do not find reference to an interface in JAR","2002-02-06 13:36:32"
12353,"JDT","Core","erich_gamma","RESOLVED","FIXED","DocumentAdapter can never be closed","2002-04-17 11:28:09"
293697,"JDT","Core","frederic_fusier","VERIFIED","FIXED","JavaSearchBugTests.testBug286379c is failing randomly","2009-12-10 09:04:46"
10466,"JDT","Core","philippe_mulet","RESOLVED","FIXED","""Cannot reference a field before it is defined"" - compiler bug?","2002-03-01 04:34:17"
5616,"JDT","Core","philippe_mulet","RESOLVED","FIXED","NPE when compiling invalid code defining a array of strings","2002-01-11 09:13:29"
8414,"JDT","Core","philippe_mulet","RESOLVED","FIXED","Incorrect ""unused variable"" warning?","2002-01-28 13:12:04"
3236,"JDT","Core","david_audel","RESOLVED","FIXED","Tests - Need multi-project test for image builder (1GCUNZC)","2002-01-11 09:22:43"
3418,"JDT","Core","philippe_mulet","RESOLVED","FIXED","JCK 1.4 - EXPR - a NullPointerException is raised in run time (1GK7WHA)","2002-01-17 14:07:09"
7584,"JDT","Core","Olivier_Thomann","RESOLVED","FIXED","Comments on IDOMMethod#getReturnType()","2002-01-16 17:44:31"
504502,"JDT","Core","sxenos","VERIFIED","FIXED","Test failures in official build","2016-10-26 00:56:06"
9031,"JDT","Core","jerome_lanneluc","RESOLVED","FIXED","NPE in AbstractMethodDeclaration.compilationResult during search","2002-02-07 12:26:23"
14852,"JDT","Core","Olivier_Thomann","RESOLVED","FIXED","Organize Import: missing import","2002-04-30 11:01:59"
9190,"JDT","Core","jerome_lanneluc","RESOLVED","WONTFIX","Removing a library from classpath gives not a remove delta","2002-02-07 13:24:08"
8078,"JDT","Core","jerome_lanneluc","RESOLVED","FIXED","Missing resource in copy CU dialog","2002-02-07 13:05:19"
3303,"JDT","Core","philippe_mulet","RESOLVED","FIXED","Many errors when adding projects from repository in a fresh install (1GF5PU7)","2002-03-05 06:26:21"
6678,"JDT","Core","Olivier_Thomann","RESOLVED","FIXED","Incorrect output after Add Unimplemented Method","2002-02-12 06:20:08"
5972,"JDT","Core","kent_johnson","RESOLVED","FIXED","Incremental builder (new) recompiling dependents of Parser for no apparent reason","2002-01-11 09:22:19"
176808,"JDT","Core","frederic_fusier","VERIFIED","FIXED","4% regression in build performance test #testFullBuildProjectAllWarnings","2007-11-08 03:49:38"
8832,"JDT","Core","philippe_mulet","RESOLVED","FIXED","Sanity check error (internal error) when unused variables inside initializers","2002-08-20 18:49:15"
3356,"JDT","Core","philippe_mulet","RESOLVED","FIXED","API - should provide API for running batch compiler (1GJIWDP)","2002-05-06 18:44:35"
6236,"JDT","Core","jerome_lanneluc","RESOLVED","FIXED","Renamed file is not excluded from project build","2016-11-01 14:12:09"
9035,"JDT","Core","Olivier_Thomann","RESOLVED","FIXED","I got an NPE","2002-02-06 13:56:39"
434639,"JDT","Core","jarthana","VERIFIED","DUPLICATE","Behavioral change between Kepler SR2 and Luna on AST of syntactically incorrect source file","2014-05-19 05:24:33"
8087,"JDT","Core","jerome_lanneluc","RESOLVED","FIXED","NPE when hierarchy verbose on and hierarchy on a region","2002-01-23 07:47:48"
8484,"JDT","Core","jerome_lanneluc","RESOLVED","DUPLICATE","Internal error searching for write access to a variable","2002-01-28 12:12:21"
3321,"JDT","Core","philippe_mulet","RESOLVED","FIXED","Adding missing source folder doesn't remove warning (1GGCC4P)","2002-02-06 08:10:06"
512741,"JDT","Core","sxenos","RESOLVED","FIXED","[newindex] Reduce writes during indexing using a new FieldList type","2017-04-27 03:10:59"
7595,"JDT","Core","kent_johnson","RESOLVED","FIXED","New builder performs intempestive full build on method body changes","2002-01-15 10:50:28"
6431,"JDT","Core","philippe_mulet","RESOLVED","FIXED","ArrayIndexOutOfBoundsException in the SourceIndexer requestor","2002-01-11 09:22:51"
9223,"JDT","Core","philippe_mulet","RESOLVED","FIXED","CodeAssist failure in inner type from class file.","2002-02-11 05:59:16"
8125,"JDT","Core","jerome_lanneluc","RESOLVED","FIXED","'Could not uniquely map the type name' message opening type","2002-01-23 12:24:22"
8697,"JDT","Core","philippe_mulet","RESOLVED","FIXED","2 compiler bugs: the operator unkown operator is undefined and  defined in an inherited type and an enclosing scope","2002-01-31 05:41:22"
9998,"JDT","Core","david_audel","RESOLVED","FIXED","Performance - Better pruning meaningless AST nodes upon completion","2002-02-28 06:14:06"
4919,"JDT","Core","philippe_mulet","RESOLVED","DUPLICATE","Cannot duplicate local variable in finally block","2002-01-11 09:04:23"
9395,"JDT","Core","philippe_mulet","RESOLVED","FIXED","ClassCastException during build","2002-02-12 06:13:56"
6693,"JDT","Core","kent_johnson","RESOLVED","FIXED","AbstractImageBuilder.compile throws an ArrayIndexOutOfBoundsException on line 166 in build 20011206","2012-12-10 01:06:35"
15395,"JDT","Core","kent_johnson","VERIFIED","FIXED","AssertionFailedException when creating new Java project","2002-06-03 12:29:50"
8900,"JDT","Core","jerome_lanneluc","RESOLVED","FIXED","Search causing internal error","2002-02-01 13:13:31"
9084,"JDT","Core","Olivier_Thomann","RESOLVED","FIXED","NPE in parser during build","2002-02-07 11:42:57"
7065,"JDT","Core","kent_johnson","RESOLVED","WORKSFORME","NPE when saving a Java source","2002-01-11 08:56:30"
4921,"JDT","Core","jerome_lanneluc","RESOLVED","FIXED","Serach does not find types in internal jar","2002-01-11 09:04:28"
