file,fileVersion,date,bugID
org.eclipse.jdt.core\antadapter\Attic\JDTCompilerAdapter.java,1.2,2002.05.06.15.24.32,15244
org.eclipse.jdt.core\antadapter\Attic\JDTCompilerAdapter.java,1.1,2002.04.19.20.38.41,12363
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\CheckDebugAttributes.java,1.10,2008.04.18.15.41.47,182360
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\CheckDebugAttributes.java,1.4,2004.01.13.15.48.45,2004
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\CheckDebugAttributes.java,1.3,2003.12.08.15.55.06,45589
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.69,2010.04.25.20.10.09,310330
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.66,2006.11.28.17.37.52,165976
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.65,2006.11.24.01.32.07,161980
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.65,2006.11.24.01.32.07,161975
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.62,2006.05.02.13.16.07,106631
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.61,2006.03.29.16.31.17,133748
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.60,2006.03.29.15.18.37,133748
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.58,2006.03.10.21.19.34,131373
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.57,2006.03.02.21.35.48,104536
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.56,2005.11.25.20.54.38,106173
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.56,2005.11.25.20.54.38,81918
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.55,2005.11.25.20.49.51,106173
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.55,2005.11.25.20.49.51,81918
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.54,2005.11.25.20.45.32,106173
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.54,2005.11.25.20.45.32,81918
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.53,2005.11.25.19.43.58,106173
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.53,2005.11.25.19.43.58,81918
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.51,2005.10.18.19.22.15,112418
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.50,2005.07.28.16.33.24,48976
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.48,2005.06.01.18.28.29,97744
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.47,2005.05.30.13.17.59,96605
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.43,2004.10.18.18.25.44,53977
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.43,2004.10.18.18.25.44,75701
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.42,2004.09.06.15.24.20,66533
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.41,2004.07.29.00.11.27,69931
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.40,2004.07.26.21.01.21,69931
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.37,2004.05.27.14.41.39,64332
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.36,2004.05.25.13.22.14,62952
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.35,2004.04.13.23.38.51,57117
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.33,2004.01.13.15.48.45,2004
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.32,2003.12.08.15.55.06,45589
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.31,2003.09.30.15.56.42,43907
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.29,2003.09.29.20.40.38,43842
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.28,2003.09.25.19.54.58,43600
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.22,2003.05.21.19.56.13,37779
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.18,2003.03.18.18.47.12,35237
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.15,2002.12.11.13.42.56,28069
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.10,2002.10.29.17.02.41,25495
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.8,2002.10.25.18.03.41,25347
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.7,2002.09.27.13.42.46,24134
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.6,2002.09.05.18.33.23,20215
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.2,2002.05.24.15.26.25,17422
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.3.2.1,2002.10.31.14.35.39,25551
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.3.2.1,2002.10.31.14.35.39,25347
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.3.2.1,2002.10.31.14.35.39,25495
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.68.4.1,2010.04.26.00.40.38,310330
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\internal\antadapter\AntAdapterMessages.java,1.2,2004.01.13.15.48.44,2004
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\internal\antadapter\AntAdapterMessages.java,1.1,2003.12.08.15.55.06,45589
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\internal\antadapter\Attic\Messages.java,1.1,2003.05.21.19.56.13,37779
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\internal\antadapter\Attic\Util.java,1.3,2003.12.08.15.55.06,45589
org.eclipse.jdt.core\batch\org\eclipse\jdt\core\compiler\batch\BatchCompiler.java,1.1,2008.03.21.16.59.46,217233
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,1.51,2009.08.20.17.16.45,285466
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,1.49,2008.03.20.08.57.49,97332
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,1.48,2008.01.14.08.27.11,214731
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,1.42,2006.11.24.01.32.03,161980
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,1.42,2006.11.24.01.32.03,161975
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,1.41,2006.09.01.07.48.07,146554
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,1.40,2006.04.12.15.39.42,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,1.39,2006.04.12.15.38.42,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,1.38,2006.04.12.04.01.08,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,1.35,2006.02.11.02.06.25,126803
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,1.34,2005.07.28.16.52.26,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,1.33,2005.07.25.14.24.13,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,1.32,2005.05.25.14.15.06,92398
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,1.28,2004.01.13.15.48.45,2004
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,1.32.2.1,2005.07.25.15.15.31,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,1.32.2.2,2005.07.28.17.08.41,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,1.50.2.1,2009.08.20.17.11.44,285466
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,1.50.2.2,2009.08.20.17.13.04,285466
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathDirectory.java,1.50.2.3,2009.08.20.17.13.56,285466
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,1.51,2009.04.17.20.08.02,272450
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,1.48,2008.11.10.16.38.21,252868
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,1.47,2008.10.09.08.13.07,198572
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,1.45,2008.03.20.08.57.49,97332
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,1.44,2008.01.14.08.27.11,214731
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,1.40,2006.11.24.01.32.03,161980
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,1.40,2006.11.24.01.32.03,161975
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,1.39,2006.09.01.07.48.07,146554
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,1.38,2006.04.12.04.01.08,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,1.36,2006.02.11.02.06.25,126803
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,1.35,2005.07.28.16.52.26,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,1.34,2005.07.25.14.24.13,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,1.33,2005.05.25.14.15.06,92398
