file,commitNo,date,bugID,releaseNo,Date,Changed,Changed-Date
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.51,2008-04-18,182360,R3_4,2008-06-25,2008-08-25,61 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\ExternalPackageFragmentRoot.java,1.7,2008-04-18,182360,R3_4,2008-06-25,2008-08-25,61 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\core\compiler\CompilationProgress.java,1.1,2008-03-21,217233,R3_4,2008-06-25,2008-08-22,58 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\ConstructorDeclaration.java,1.92.2.2,2008-07-08,238923,R3_4_2,2009-02-25,2009-03-13,16 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\codegen\StackMapFrameCodeStream.java,1.22.2.2,2008-07-08,238923,R3_4_2,2009-02-25,2009-03-13,16 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\ConstructorDeclaration.java,1.92.2.2,2008-07-08,238923,R3_4_1,2008-09-24,2009-03-13,170 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\codegen\StackMapFrameCodeStream.java,1.22.2.2,2008-07-08,238923,R3_4_1,2008-09-24,2009-03-13,170 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\QualifiedNameReference.java,1.125.2.3,2008-11-27,255452,R3_4_2,2009-02-25,2009-05-11,75 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\SingleNameReference.java,1.103.2.3,2008-11-27,255452,R3_4_2,2009-02-25,2009-05-11,75 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\problem\ProblemReporter.java,1.370.2.1,2008-11-27,255452,R3_4_2,2009-02-25,2009-05-11,75 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\EqualExpression.java,1.65,2006-04-26,127570,R3_2,2006-06-29,2006-09-26,89 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\InstanceOfExpression.java,1.51,2006-04-26,127570,R3_2,2006-06-29,2006-09-26,89 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\flow\ConditionalFlowInfo.java,1.26,2006-04-26,127570,R3_2,2006-06-29,2006-09-26,89 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\flow\FlowContext.java,1.52,2006-04-26,127570,R3_2,2006-06-29,2006-09-26,89 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\flow\FlowInfo.java,1.32,2006-04-26,127570,R3_2,2006-06-29,2006-09-26,89 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\flow\LoopingFlowContext.java,1.34,2006-04-26,127570,R3_2,2006-06-29,2006-09-26,89 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\flow\NullInfoRegistry.java,1.4,2006-04-26,127570,R3_2,2006-06-29,2006-09-26,89 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\InferenceContext.java,1.3.2.1,2007-07-02,190945,R3_3_1,2007-09-28,2007-12-20,83 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\Binding.java,1.28,2006-10-23,161214,R3_3,2007-06-28,2007-09-07,71 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\FieldBinding.java,1.47,2006-10-23,161214,R3_3,2007-06-28,2007-09-07,71 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\MemberTypeBinding.java,1.22,2006-10-23,161214,R3_3,2007-06-28,2007-09-07,71 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\SyntheticFieldBinding.java,1.11,2006-10-23,161214,R3_3,2007-06-28,2007-09-07,71 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\PackageBinding.java,1.44.2.4,2008-11-14,250297,R3_4_2,2009-02-25,2009-03-18,21 days 00:00:00.000000000
org.eclipse.jdt.core\eval\org\eclipse\jdt\internal\eval\CodeSnippetEvaluator.java,1.27,2006-07-17,129584,R3_3_1,2007-09-28,2007-10-30,32 days 00:00:00.000000000
org.eclipse.jdt.core\eval\org\eclipse\jdt\internal\eval\Evaluator.java,1.38,2006-07-17,129584,R3_3_1,2007-09-28,2007-10-30,32 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\compiler\DocumentElementParser.java,1.26,2006-07-17,129584,R3_3_1,2007-09-28,2007-10-30,32 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\util\CodeSnippetParsingUtil.java,1.15,2006-07-17,129584,R3_3_1,2007-09-28,2007-10-30,32 days 00:00:00.000000000
org.eclipse.jdt.core\eval\org\eclipse\jdt\internal\eval\CodeSnippetEvaluator.java,1.27,2006-07-17,129584,R3_3,2007-06-28,2007-10-30,124 days 00:00:00.000000000
org.eclipse.jdt.core\eval\org\eclipse\jdt\internal\eval\Evaluator.java,1.38,2006-07-17,129584,R3_3,2007-06-28,2007-10-30,124 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\compiler\DocumentElementParser.java,1.26,2006-07-17,129584,R3_3,2007-06-28,2007-10-30,124 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\util\CodeSnippetParsingUtil.java,1.15,2006-07-17,129584,R3_3,2007-06-28,2007-10-30,124 days 00:00:00.000000000
