file,commitNo,date,bugID,releaseNo,Date,Changed,Changed-Date
org.eclipse.jdt.core\antadapter\org\eclipse\jdt\core\JDTCompilerAdapter.java,1.66,2006-11-28,165976,R3_3,2007-06-28,2007-02-15,-133 days +00:00:00.000000000
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathJar.java,1.45.2.1,2008-11-10,252868,R3_4_2,2009-02-25,2009-02-03,-22 days +00:00:00.000000000
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathLocation.java,1.11,2008-01-14,214731,R3_4,2008-06-25,2008-02-04,-142 days +00:00:00.000000000
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.51,2008-04-18,182360,R3_4_1,2008-09-24,2008-08-25,-30 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\ExternalPackageFragmentRoot.java,1.7,2008-04-18,182360,R3_4_1,2008-09-24,2008-08-25,-30 days +00:00:00.000000000
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.327,2008-04-21,227941,R3_4_1,2008-09-24,2008-06-02,-114 days +00:00:00.000000000
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,1.327,2008-04-21,227941,R3_4,2008-06-25,2008-06-02,-23 days +00:00:00.000000000
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\CompletionElementNotifier.java,1.1,2008-03-06,202470,R3_4_1,2008-09-24,2008-04-09,-168 days +00:00:00.000000000
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\impl\AssistAnnotation.java,1.1,2008-03-06,202470,R3_4_1,2008-09-24,2008-04-09,-168 days +00:00:00.000000000
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\impl\AssistCompilationUnit.java,1.1,2008-03-06,202470,R3_4_1,2008-09-24,2008-04-09,-168 days +00:00:00.000000000
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\impl\AssistImportContainer.java,1.1,2008-03-06,202470,R3_4_1,2008-09-24,2008-04-09,-168 days +00:00:00.000000000
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\impl\AssistImportDeclaration.java,1.1,2008-03-06,202470,R3_4_1,2008-09-24,2008-04-09,-168 days +00:00:00.000000000
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\impl\AssistInitializer.java,1.1,2008-03-06,202470,R3_4_1,2008-09-24,2008-04-09,-168 days +00:00:00.000000000
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\impl\AssistPackageDeclaration.java,1.1,2008-03-06,202470,R3_4_1,2008-09-24,2008-04-09,-168 days +00:00:00.000000000
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\impl\AssistTypeParameter.java,1.1,2008-03-06,202470,R3_4_1,2008-09-24,2008-04-09,-168 days +00:00:00.000000000
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\CompletionElementNotifier.java,1.1,2008-03-06,202470,R3_4,2008-06-25,2008-04-09,-77 days +00:00:00.000000000
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\impl\AssistAnnotation.java,1.1,2008-03-06,202470,R3_4,2008-06-25,2008-04-09,-77 days +00:00:00.000000000
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\impl\AssistCompilationUnit.java,1.1,2008-03-06,202470,R3_4,2008-06-25,2008-04-09,-77 days +00:00:00.000000000
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\impl\AssistImportContainer.java,1.1,2008-03-06,202470,R3_4,2008-06-25,2008-04-09,-77 days +00:00:00.000000000
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\impl\AssistImportDeclaration.java,1.1,2008-03-06,202470,R3_4,2008-06-25,2008-04-09,-77 days +00:00:00.000000000
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\impl\AssistInitializer.java,1.1,2008-03-06,202470,R3_4,2008-06-25,2008-04-09,-77 days +00:00:00.000000000
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\impl\AssistPackageDeclaration.java,1.1,2008-03-06,202470,R3_4,2008-06-25,2008-04-09,-77 days +00:00:00.000000000
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\impl\AssistTypeParameter.java,1.1,2008-03-06,202470,R3_4,2008-06-25,2008-04-09,-77 days +00:00:00.000000000
