file,NOM_avg,NOM_max,NOM_total,NSM_avg,NSM_max,NSM_total
org.eclipse.jdt.core.BufferChangedEvent.java,4.0,4,4,0.0,0,0
org.eclipse.jdt.core.ClasspathContainerInitializer.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.ClasspathVariableInitializer.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.CompletionRequestorAdapter.java,14.0,14,14,0.0,0,0
org.eclipse.jdt.core.CorrectionEngine.java,18.0,18,18,0.0,0,0
org.eclipse.jdt.core.dom.AnonymousClassDeclaration.java,8.0,8,8,0.0,0,0
org.eclipse.jdt.core.dom.ArrayAccess.java,10.0,10,10,0.0,0,0
org.eclipse.jdt.core.dom.ArrayCreation.java,11.0,11,11,0.0,0,0
org.eclipse.jdt.core.dom.ArrayInitializer.java,7.0,7,7,0.0,0,0
org.eclipse.jdt.core.dom.ArrayType.java,10.0,10,10,0.0,0,0
org.eclipse.jdt.core.dom.AssertStatement.java,10.0,10,10,0.0,0,0
org.eclipse.jdt.core.dom.Assignment.java,7.0,13,14,1.0,1,2
org.eclipse.jdt.core.dom.AST.java,70.0,70,70,3.0,3,3
org.eclipse.jdt.core.dom.ASTConverter.java,109.0,109,109,0.0,0,0
org.eclipse.jdt.core.dom.ASTMatcher.java,64.0,64,64,1.0,1,1
org.eclipse.jdt.core.dom.ASTNode.java,20.333333333333332,43,61,1.0,3,3
org.eclipse.jdt.core.dom.ASTSyntaxErrorPropagator.java,7.0,7,7,0.0,0,0
org.eclipse.jdt.core.dom.ASTVisitor.java,126.0,126,126,0.0,0,0
org.eclipse.jdt.core.dom.BindingResolver.java,22.0,22,22,0.0,0,0
org.eclipse.jdt.core.dom.Block.java,7.0,7,7,0.0,0,0
org.eclipse.jdt.core.dom.BodyDeclaration.java,3.0,3,3,0.0,0,0
org.eclipse.jdt.core.dom.BooleanLiteral.java,8.0,8,8,0.0,0,0
org.eclipse.jdt.core.dom.BreakStatement.java,8.0,8,8,0.0,0,0
org.eclipse.jdt.core.dom.CastExpression.java,10.0,10,10,0.0,0,0
org.eclipse.jdt.core.dom.CatchClause.java,10.0,10,10,0.0,0,0
org.eclipse.jdt.core.dom.CharacterLiteral.java,10.0,10,10,0.0,0,0
org.eclipse.jdt.core.dom.ClassInstanceCreation.java,14.0,14,14,0.0,0,0
org.eclipse.jdt.core.dom.CompilationUnit.java,16.0,16,16,0.0,0,0
org.eclipse.jdt.core.dom.CompilationUnitResolver.java,5.0,5,5,8.0,8,8
org.eclipse.jdt.core.dom.ConditionalExpression.java,12.0,12,12,0.0,0,0
org.eclipse.jdt.core.dom.ConstructorInvocation.java,8.0,8,8,0.0,0,0
org.eclipse.jdt.core.dom.ContinueStatement.java,8.0,8,8,0.0,0,0
org.eclipse.jdt.core.dom.DefaultBindingResolver.java,31.0,31,31,0.0,0,0
org.eclipse.jdt.core.dom.DoStatement.java,10.0,10,10,0.0,0,0
org.eclipse.jdt.core.dom.EmptyStatement.java,5.0,5,5,0.0,0,0
org.eclipse.jdt.core.dom.Expression.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.ExpressionStatement.java,8.0,8,8,0.0,0,0
org.eclipse.jdt.core.dom.FieldAccess.java,10.0,10,10,0.0,0,0
org.eclipse.jdt.core.dom.FieldDeclaration.java,12.0,12,12,0.0,0,0
org.eclipse.jdt.core.dom.ForStatement.java,12.0,12,12,0.0,0,0
org.eclipse.jdt.core.dom.IBinding.java,1,0,0,1,0,0
org.eclipse.jdt.core.dom.IfStatement.java,12.0,12,12,0.0,0,0
org.eclipse.jdt.core.dom.IMethodBinding.java,1,0,0,1,0,0
org.eclipse.jdt.core.dom.ImportDeclaration.java,11.0,11,11,0.0,0,0
org.eclipse.jdt.core.dom.InfixExpression.java,8.0,15,16,1.0,1,2
org.eclipse.jdt.core.dom.Initializer.java,10.0,10,10,0.0,0,0
org.eclipse.jdt.core.dom.InstanceofExpression.java,10.0,10,10,0.0,0,0
org.eclipse.jdt.core.dom.IPackageBinding.java,1,0,0,1,0,0
org.eclipse.jdt.core.dom.ITypeBinding.java,1,0,0,1,0,0
org.eclipse.jdt.core.dom.IVariableBinding.java,1,0,0,1,0,0
org.eclipse.jdt.core.dom.Javadoc.java,8.0,8,8,0.0,0,0
org.eclipse.jdt.core.dom.LabeledStatement.java,10.0,10,10,0.0,0,0
org.eclipse.jdt.core.dom.Message.java,4.0,4,4,0.0,0,0
org.eclipse.jdt.core.dom.MethodBinding.java,11.0,11,11,0.0,0,0
org.eclipse.jdt.core.dom.MethodDeclaration.java,20.0,20,20,0.0,0,0
org.eclipse.jdt.core.dom.MethodInvocation.java,11.0,11,11,0.0,0,0
org.eclipse.jdt.core.dom.Modifier.java,0.0,0,0,11.0,11,11
org.eclipse.jdt.core.dom.NaiveASTFlattener.java,65.0,65,65,0.0,0,0
org.eclipse.jdt.core.dom.Name.java,3.0,3,3,0.0,0,0
org.eclipse.jdt.core.dom.NullLiteral.java,6.0,6,6,0.0,0,0
org.eclipse.jdt.core.dom.NumberLiteral.java,8.0,8,8,0.0,0,0
org.eclipse.jdt.core.dom.PackageBinding.java,10.0,10,10,0.0,0,0
org.eclipse.jdt.core.dom.PackageDeclaration.java,9.0,9,9,0.0,0,0
org.eclipse.jdt.core.dom.ParenthesizedExpression.java,8.0,8,8,0.0,0,0
org.eclipse.jdt.core.dom.PostfixExpression.java,6.0,11,12,1.0,1,2
org.eclipse.jdt.core.dom.PrefixExpression.java,6.0,11,12,1.0,1,2
org.eclipse.jdt.core.dom.PrimitiveType.java,5.0,9,10,0.5,1,1
org.eclipse.jdt.core.dom.QualifiedName.java,10.0,10,10,0.0,0,0
org.eclipse.jdt.core.dom.ReturnStatement.java,8.0,8,8,0.0,0,0
org.eclipse.jdt.core.dom.SimpleName.java,9.0,9,9,0.0,0,0
org.eclipse.jdt.core.dom.SimpleType.java,8.0,8,8,0.0,0,0
org.eclipse.jdt.core.dom.SingleVariableDeclaration.java,14.0,14,14,0.0,0,0
org.eclipse.jdt.core.dom.Statement.java,3.0,3,3,0.0,0,0
org.eclipse.jdt.core.dom.StringLiteral.java,10.0,10,10,0.0,0,0
org.eclipse.jdt.core.dom.SuperConstructorInvocation.java,10.0,10,10,0.0,0,0
org.eclipse.jdt.core.dom.SuperFieldAccess.java,10.0,10,10,0.0,0,0
org.eclipse.jdt.core.dom.SuperMethodInvocation.java,11.0,11,11,0.0,0,0
org.eclipse.jdt.core.dom.SwitchCase.java,9.0,9,9,0.0,0,0
org.eclipse.jdt.core.dom.SwitchStatement.java,9.0,9,9,0.0,0,0
org.eclipse.jdt.core.dom.SynchronizedStatement.java,10.0,10,10,0.0,0,0
org.eclipse.jdt.core.dom.ThisExpression.java,8.0,8,8,0.0,0,0
org.eclipse.jdt.core.dom.ThrowStatement.java,8.0,8,8,0.0,0,0
org.eclipse.jdt.core.dom.TryStatement.java,11.0,11,11,0.0,0,0
org.eclipse.jdt.core.dom.Type.java,4.0,4,4,0.0,0,0
org.eclipse.jdt.core.dom.TypeBinding.java,27.0,27,27,0.0,0,0
org.eclipse.jdt.core.dom.TypeDeclaration.java,24.0,24,24,0.0,0,0
org.eclipse.jdt.core.dom.TypeDeclarationStatement.java,9.0,9,9,0.0,0,0
org.eclipse.jdt.core.dom.TypeLiteral.java,8.0,8,8,0.0,0,0
org.eclipse.jdt.core.dom.VariableBinding.java,10.0,10,10,0.0,0,0
org.eclipse.jdt.core.dom.VariableDeclaration.java,5.0,5,5,0.0,0,0
org.eclipse.jdt.core.dom.VariableDeclarationExpression.java,11.0,11,11,0.0,0,0
org.eclipse.jdt.core.dom.VariableDeclarationFragment.java,12.0,12,12,0.0,0,0
org.eclipse.jdt.core.dom.VariableDeclarationStatement.java,11.0,11,11,0.0,0,0
org.eclipse.jdt.core.dom.WhileStatement.java,10.0,10,10,0.0,0,0
org.eclipse.jdt.core.ElementChangedEvent.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.core.eval.ICodeSnippetRequestor.java,1,0,0,1,0,0
org.eclipse.jdt.core.eval.IEvaluationContext.java,1,0,0,1,0,0
org.eclipse.jdt.core.eval.IGlobalVariable.java,1,0,0,1,0,0
org.eclipse.jdt.core.Flags.java,0.0,0,0,15.0,15,15
