file,num_of_anony,num_of_interface,num_of_class,line_of_code
org.eclipse.jdt.core.BufferChangedEvent.java,??,0,1,109
org.eclipse.jdt.core.ClasspathContainerInitializer.java,??,0,1,70
org.eclipse.jdt.core.ClasspathVariableInitializer.java,??,0,1,30
org.eclipse.jdt.core.CompletionRequestorAdapter.java,??,0,1,206
org.eclipse.jdt.core.CorrectionEngine.java,??,0,1,414
org.eclipse.jdt.core.dom.AnonymousClassDeclaration.java,??,0,1,130
org.eclipse.jdt.core.dom.ArrayAccess.java,??,0,1,175
org.eclipse.jdt.core.dom.ArrayCreation.java,??,0,1,204
org.eclipse.jdt.core.dom.ArrayInitializer.java,??,0,1,104
org.eclipse.jdt.core.dom.ArrayType.java,??,0,1,171
org.eclipse.jdt.core.dom.AssertStatement.java,??,0,1,172
org.eclipse.jdt.core.dom.Assignment.java,??,0,2,321
org.eclipse.jdt.core.dom.AST.java,??,0,1,1441
org.eclipse.jdt.core.dom.ASTConverter.java,??,0,1,2861
org.eclipse.jdt.core.dom.ASTMatcher.java,??,0,1,1610
org.eclipse.jdt.core.dom.ASTNode.java,??,0,3,1562
org.eclipse.jdt.core.dom.ASTSyntaxErrorPropagator.java,??,0,1,99
org.eclipse.jdt.core.dom.ASTVisitor.java,??,0,1,435
org.eclipse.jdt.core.dom.BindingResolver.java,??,0,1,467
org.eclipse.jdt.core.dom.Block.java,??,0,1,113
org.eclipse.jdt.core.dom.BodyDeclaration.java,??,0,1,89
org.eclipse.jdt.core.dom.BooleanLiteral.java,??,0,1,113
org.eclipse.jdt.core.dom.BreakStatement.java,??,0,1,123
org.eclipse.jdt.core.dom.CastExpression.java,??,0,1,172
org.eclipse.jdt.core.dom.CatchClause.java,??,0,1,173
org.eclipse.jdt.core.dom.CharacterLiteral.java,??,0,1,308
org.eclipse.jdt.core.dom.ClassInstanceCreation.java,??,0,1,249
org.eclipse.jdt.core.dom.CompilationUnit.java,??,0,1,374
org.eclipse.jdt.core.dom.CompilationUnitResolver.java,??,0,1,273
org.eclipse.jdt.core.dom.ConditionalExpression.java,??,0,1,220
org.eclipse.jdt.core.dom.ConstructorInvocation.java,??,0,1,124
org.eclipse.jdt.core.dom.ContinueStatement.java,??,0,1,123
org.eclipse.jdt.core.dom.DefaultBindingResolver.java,??,0,1,992
org.eclipse.jdt.core.dom.DoStatement.java,??,0,1,172
org.eclipse.jdt.core.dom.EmptyStatement.java,??,0,1,77
org.eclipse.jdt.core.dom.Expression.java,??,0,1,79
org.eclipse.jdt.core.dom.ExpressionStatement.java,??,0,1,135
org.eclipse.jdt.core.dom.FieldAccess.java,??,0,1,170
org.eclipse.jdt.core.dom.FieldDeclaration.java,??,0,1,243
org.eclipse.jdt.core.dom.ForStatement.java,??,0,1,230
org.eclipse.jdt.core.dom.IBinding.java,??,1,0,178
org.eclipse.jdt.core.dom.IfStatement.java,??,0,1,227
org.eclipse.jdt.core.dom.IMethodBinding.java,??,1,0,84
org.eclipse.jdt.core.dom.ImportDeclaration.java,??,0,1,183
org.eclipse.jdt.core.dom.InfixExpression.java,??,0,2,407
org.eclipse.jdt.core.dom.Initializer.java,??,0,1,175
org.eclipse.jdt.core.dom.InstanceofExpression.java,??,0,1,173
org.eclipse.jdt.core.dom.IPackageBinding.java,??,1,0,73
org.eclipse.jdt.core.dom.ITypeBinding.java,??,1,0,379
org.eclipse.jdt.core.dom.IVariableBinding.java,??,1,0,94
org.eclipse.jdt.core.dom.Javadoc.java,??,0,1,119
org.eclipse.jdt.core.dom.LabeledStatement.java,??,0,1,173
org.eclipse.jdt.core.dom.Message.java,??,0,1,134
org.eclipse.jdt.core.dom.MethodBinding.java,??,0,1,164
org.eclipse.jdt.core.dom.MethodDeclaration.java,??,0,1,439
org.eclipse.jdt.core.dom.MethodInvocation.java,??,0,1,189
org.eclipse.jdt.core.dom.Modifier.java,??,0,1,251
org.eclipse.jdt.core.dom.NaiveASTFlattener.java,??,0,1,956
org.eclipse.jdt.core.dom.Name.java,??,0,1,77
org.eclipse.jdt.core.dom.NullLiteral.java,??,0,1,76
org.eclipse.jdt.core.dom.NumberLiteral.java,??,0,1,146
org.eclipse.jdt.core.dom.PackageBinding.java,??,0,1,124
org.eclipse.jdt.core.dom.PackageDeclaration.java,??,0,1,144
org.eclipse.jdt.core.dom.ParenthesizedExpression.java,??,0,1,130
org.eclipse.jdt.core.dom.PostfixExpression.java,??,0,2,235
org.eclipse.jdt.core.dom.PrefixExpression.java,??,0,2,253
org.eclipse.jdt.core.dom.PrimitiveType.java,??,0,2,238
org.eclipse.jdt.core.dom.QualifiedName.java,??,0,1,174
org.eclipse.jdt.core.dom.ReturnStatement.java,??,0,1,122
org.eclipse.jdt.core.dom.SimpleName.java,??,0,1,206
org.eclipse.jdt.core.dom.SimpleType.java,??,0,1,126
org.eclipse.jdt.core.dom.SingleVariableDeclaration.java,??,0,1,259
org.eclipse.jdt.core.dom.Statement.java,??,0,1,136
org.eclipse.jdt.core.dom.StringLiteral.java,??,0,1,349
org.eclipse.jdt.core.dom.SuperConstructorInvocation.java,??,0,1,164
org.eclipse.jdt.core.dom.SuperFieldAccess.java,??,0,1,167
org.eclipse.jdt.core.dom.SuperMethodInvocation.java,??,0,1,187
org.eclipse.jdt.core.dom.SwitchCase.java,??,0,1,151
org.eclipse.jdt.core.dom.SwitchStatement.java,??,0,1,164
org.eclipse.jdt.core.dom.SynchronizedStatement.java,??,0,1,173
org.eclipse.jdt.core.dom.ThisExpression.java,??,0,1,119
org.eclipse.jdt.core.dom.ThrowStatement.java,??,0,1,131
org.eclipse.jdt.core.dom.TryStatement.java,??,0,1,195
org.eclipse.jdt.core.dom.Type.java,??,0,1,130
org.eclipse.jdt.core.dom.TypeBinding.java,??,0,1,401
org.eclipse.jdt.core.dom.TypeDeclaration.java,??,0,1,522
org.eclipse.jdt.core.dom.TypeDeclarationStatement.java,??,0,1,156
org.eclipse.jdt.core.dom.TypeLiteral.java,??,0,1,128
org.eclipse.jdt.core.dom.VariableBinding.java,??,0,1,133
org.eclipse.jdt.core.dom.VariableDeclaration.java,??,0,1,100
org.eclipse.jdt.core.dom.VariableDeclarationExpression.java,??,0,1,218
org.eclipse.jdt.core.dom.VariableDeclarationFragment.java,??,0,1,190
org.eclipse.jdt.core.dom.VariableDeclarationStatement.java,??,0,1,215
org.eclipse.jdt.core.dom.WhileStatement.java,??,0,1,174
org.eclipse.jdt.core.ElementChangedEvent.java,??,0,1,121
org.eclipse.jdt.core.eval.ICodeSnippetRequestor.java,??,1,0,172
org.eclipse.jdt.core.eval.IEvaluationContext.java,??,1,0,339
org.eclipse.jdt.core.eval.IGlobalVariable.java,??,1,0,47
org.eclipse.jdt.core.Flags.java,??,0,1,294
org.eclipse.jdt.core.IBuffer.java,??,1,0,263
org.eclipse.jdt.core.IBufferChangedListener.java,??,1,0,30
org.eclipse.jdt.core.IBufferFactory.java,??,1,0,33
org.eclipse.jdt.core.IClassFile.java,??,1,0,102
org.eclipse.jdt.core.IClasspathContainer.java,??,1,0,103
org.eclipse.jdt.core.IClasspathEntry.java,??,1,0,266
org.eclipse.jdt.core.ICodeAssist.java,??,1,0,81
org.eclipse.jdt.core.ICodeCompletionRequestor.java,??,1,0,275
org.eclipse.jdt.core.ICodeFormatter.java,??,1,0,43
