file,class,num_of_field,num_of_static_field
org.eclipse.jdt.core.BufferChangedEvent.java,BufferChangedEvent,3,0
org.eclipse.jdt.core.ClasspathContainerInitializer.java,ClasspathContainerInitializer,0,0
org.eclipse.jdt.core.ClasspathVariableInitializer.java,ClasspathVariableInitializer,0,0
org.eclipse.jdt.core.CompletionRequestorAdapter.java,CompletionRequestorAdapter,0,0
org.eclipse.jdt.core.CorrectionEngine.java,CorrectionEngine,7,6
org.eclipse.jdt.core.dom.AnonymousClassDeclaration.java,AnonymousClassDeclaration,1,0
org.eclipse.jdt.core.dom.ArrayAccess.java,ArrayAccess,2,0
org.eclipse.jdt.core.dom.ArrayCreation.java,ArrayCreation,3,0
org.eclipse.jdt.core.dom.ArrayInitializer.java,ArrayInitializer,1,0
org.eclipse.jdt.core.dom.ArrayType.java,ArrayType,1,0
org.eclipse.jdt.core.dom.AssertStatement.java,AssertStatement,2,0
org.eclipse.jdt.core.dom.Assignment.java,Assignment,4,13
org.eclipse.jdt.core.dom.Assignment.java,Operator,1,13
org.eclipse.jdt.core.dom.AST.java,AST,3,0
org.eclipse.jdt.core.dom.ASTConverter.java,ASTConverter,4,0
org.eclipse.jdt.core.dom.ASTMatcher.java,ASTMatcher,0,0
org.eclipse.jdt.core.dom.ASTNode.java,ASTNode,12,66
org.eclipse.jdt.core.dom.ASTNode.java,NodeList,5,0
org.eclipse.jdt.core.dom.ASTNode.java,Cursor,1,0
org.eclipse.jdt.core.dom.ASTSyntaxErrorPropagator.java,ASTSyntaxErrorPropagator,1,0
org.eclipse.jdt.core.dom.ASTVisitor.java,ASTVisitor,0,0
org.eclipse.jdt.core.dom.BindingResolver.java,BindingResolver,1,0
org.eclipse.jdt.core.dom.Block.java,Block,1,0
org.eclipse.jdt.core.dom.BodyDeclaration.java,BodyDeclaration,1,0
org.eclipse.jdt.core.dom.BooleanLiteral.java,BooleanLiteral,1,0
org.eclipse.jdt.core.dom.BreakStatement.java,BreakStatement,1,0
org.eclipse.jdt.core.dom.CastExpression.java,CastExpression,2,0
org.eclipse.jdt.core.dom.CatchClause.java,CatchClause,2,0
org.eclipse.jdt.core.dom.CharacterLiteral.java,CharacterLiteral,1,0
org.eclipse.jdt.core.dom.ClassInstanceCreation.java,ClassInstanceCreation,4,0
org.eclipse.jdt.core.dom.CompilationUnit.java,CompilationUnit,5,1
org.eclipse.jdt.core.dom.CompilationUnitResolver.java,CompilationUnitResolver,0,0
org.eclipse.jdt.core.dom.ConditionalExpression.java,ConditionalExpression,3,0
org.eclipse.jdt.core.dom.ConstructorInvocation.java,ConstructorInvocation,1,0
org.eclipse.jdt.core.dom.ContinueStatement.java,ContinueStatement,1,0
org.eclipse.jdt.core.dom.DefaultBindingResolver.java,DefaultBindingResolver,6,2
org.eclipse.jdt.core.dom.DoStatement.java,DoStatement,2,0
org.eclipse.jdt.core.dom.EmptyStatement.java,EmptyStatement,0,0
org.eclipse.jdt.core.dom.Expression.java,Expression,0,0
org.eclipse.jdt.core.dom.ExpressionStatement.java,ExpressionStatement,1,0
org.eclipse.jdt.core.dom.FieldAccess.java,FieldAccess,2,0
org.eclipse.jdt.core.dom.FieldDeclaration.java,FieldDeclaration,3,1
org.eclipse.jdt.core.dom.ForStatement.java,ForStatement,4,0
org.eclipse.jdt.core.dom.IfStatement.java,IfStatement,3,0
org.eclipse.jdt.core.dom.ImportDeclaration.java,ImportDeclaration,2,0
org.eclipse.jdt.core.dom.InfixExpression.java,InfixExpression,5,20
org.eclipse.jdt.core.dom.InfixExpression.java,Operator,1,20
org.eclipse.jdt.core.dom.Initializer.java,Initializer,2,1
org.eclipse.jdt.core.dom.InstanceofExpression.java,InstanceofExpression,2,0
org.eclipse.jdt.core.dom.Javadoc.java,Javadoc,1,0
org.eclipse.jdt.core.dom.LabeledStatement.java,LabeledStatement,2,0
org.eclipse.jdt.core.dom.Message.java,Message,3,0
org.eclipse.jdt.core.dom.MethodBinding.java,MethodBinding,7,1
org.eclipse.jdt.core.dom.MethodDeclaration.java,MethodDeclaration,7,1
org.eclipse.jdt.core.dom.MethodInvocation.java,MethodInvocation,3,0
org.eclipse.jdt.core.dom.Modifier.java,Modifier,0,12
org.eclipse.jdt.core.dom.NaiveASTFlattener.java,NaiveASTFlattener,1,0
org.eclipse.jdt.core.dom.Name.java,Name,0,0
org.eclipse.jdt.core.dom.NullLiteral.java,NullLiteral,0,0
org.eclipse.jdt.core.dom.NumberLiteral.java,NumberLiteral,1,0
org.eclipse.jdt.core.dom.PackageBinding.java,PackageBinding,4,3
org.eclipse.jdt.core.dom.PackageDeclaration.java,PackageDeclaration,1,0
org.eclipse.jdt.core.dom.ParenthesizedExpression.java,ParenthesizedExpression,1,0
org.eclipse.jdt.core.dom.PostfixExpression.java,PostfixExpression,3,3
org.eclipse.jdt.core.dom.PostfixExpression.java,Operator,1,3
org.eclipse.jdt.core.dom.PrefixExpression.java,PrefixExpression,3,7
org.eclipse.jdt.core.dom.PrefixExpression.java,Operator,1,7
org.eclipse.jdt.core.dom.PrimitiveType.java,PrimitiveType,2,10
org.eclipse.jdt.core.dom.PrimitiveType.java,Code,1,0
org.eclipse.jdt.core.dom.QualifiedName.java,QualifiedName,2,0
org.eclipse.jdt.core.dom.ReturnStatement.java,ReturnStatement,1,0
org.eclipse.jdt.core.dom.SimpleName.java,SimpleName,1,1
org.eclipse.jdt.core.dom.SimpleType.java,SimpleType,1,0
org.eclipse.jdt.core.dom.SingleVariableDeclaration.java,SingleVariableDeclaration,4,1
org.eclipse.jdt.core.dom.Statement.java,Statement,1,0
org.eclipse.jdt.core.dom.StringLiteral.java,StringLiteral,1,0
org.eclipse.jdt.core.dom.SuperConstructorInvocation.java,SuperConstructorInvocation,2,0
org.eclipse.jdt.core.dom.SuperFieldAccess.java,SuperFieldAccess,2,0
org.eclipse.jdt.core.dom.SuperMethodInvocation.java,SuperMethodInvocation,3,0
org.eclipse.jdt.core.dom.SwitchCase.java,SwitchCase,2,0
org.eclipse.jdt.core.dom.SwitchStatement.java,SwitchStatement,2,0
org.eclipse.jdt.core.dom.SynchronizedStatement.java,SynchronizedStatement,2,0
org.eclipse.jdt.core.dom.ThisExpression.java,ThisExpression,1,0
org.eclipse.jdt.core.dom.ThrowStatement.java,ThrowStatement,1,0
org.eclipse.jdt.core.dom.TryStatement.java,TryStatement,3,0
org.eclipse.jdt.core.dom.Type.java,Type,0,0
org.eclipse.jdt.core.dom.TypeBinding.java,TypeBinding,4,5
org.eclipse.jdt.core.dom.TypeDeclaration.java,TypeDeclaration,6,1
org.eclipse.jdt.core.dom.TypeDeclarationStatement.java,TypeDeclarationStatement,1,0
org.eclipse.jdt.core.dom.TypeLiteral.java,TypeLiteral,1,0
org.eclipse.jdt.core.dom.VariableBinding.java,VariableBinding,5,0
org.eclipse.jdt.core.dom.VariableDeclaration.java,VariableDeclaration,0,0
org.eclipse.jdt.core.dom.VariableDeclarationExpression.java,VariableDeclarationExpression,3,1
org.eclipse.jdt.core.dom.VariableDeclarationFragment.java,VariableDeclarationFragment,3,0
org.eclipse.jdt.core.dom.VariableDeclarationStatement.java,VariableDeclarationStatement,3,1
org.eclipse.jdt.core.dom.WhileStatement.java,WhileStatement,2,0
org.eclipse.jdt.core.ElementChangedEvent.java,ElementChangedEvent,1,3
org.eclipse.jdt.core.Flags.java,Flags,0,15
org.eclipse.jdt.core.JavaConventions.java,JavaConventions,0,3
org.eclipse.jdt.core.JavaCore.java,JavaCore,0,64
org.eclipse.jdt.core.JavaModelException.java,JavaModelException,1,0
org.eclipse.jdt.core.jdom.DOMException.java,DOMException,0,0
org.eclipse.jdt.core.jdom.DOMFactory.java,DOMFactory,0,0
org.eclipse.jdt.core.JDTCompilerAdapter.java,JDTCompilerAdapter,0,1
org.eclipse.jdt.core.search.SearchEngine.java,SearchEngine,1,1
org.eclipse.jdt.core.Signature.java,Signature,0,38
org.eclipse.jdt.core.ToolFactory.java,ToolFactory,0,0
org.eclipse.jdt.core.util.ByteCodeVisitorAdapter.java,ByteCodeVisitorAdapter,0,0
org.eclipse.jdt.core.util.ClassFormatException.java,ClassFormatException,1,6
org.eclipse.jdt.core.util.OpcodeStringValues.java,OpcodeStringValues,0,1
org.eclipse.jdt.internal.codeassist.complete.CompletionNodeFound.java,CompletionNodeFound,3,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnArgumentName.java,CompletionOnArgumentName,1,1
org.eclipse.jdt.internal.codeassist.complete.CompletionOnClassLiteralAccess.java,CompletionOnClassLiteralAccess,2,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnClassReference.java,CompletionOnClassReference,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnExceptionReference.java,CompletionOnExceptionReference,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnExplicitConstructorCall.java,CompletionOnExplicitConstructorCall,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnFieldName.java,CompletionOnFieldName,1,1
org.eclipse.jdt.internal.codeassist.complete.CompletionOnFieldType.java,CompletionOnFieldType,1,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnImportReference.java,CompletionOnImportReference,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnInterfaceReference.java,CompletionOnInterfaceReference,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnLocalName.java,CompletionOnLocalName,1,1
org.eclipse.jdt.internal.codeassist.complete.CompletionOnMemberAccess.java,CompletionOnMemberAccess,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnMessageSend.java,CompletionOnMessageSend,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnMethodName.java,CompletionOnMethodName,1,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnMethodReturnType.java,CompletionOnMethodReturnType,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnPackageReference.java,CompletionOnPackageReference,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnQualifiedAllocationExpression.java,CompletionOnQualifiedAllocationExpression,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnQualifiedClassReference.java,CompletionOnQualifiedClassReference,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnQualifiedExceptionReference.java,CompletionOnQualifiedExceptionReference,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnQualifiedInterfaceReference.java,CompletionOnQualifiedInterfaceReference,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnQualifiedNameReference.java,CompletionOnQualifiedNameReference,2,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnQualifiedTypeReference.java,CompletionOnQualifiedTypeReference,1,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnSingleNameReference.java,CompletionOnSingleNameReference,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnSingleTypeReference.java,CompletionOnSingleTypeReference,1,0
org.eclipse.jdt.internal.codeassist.complete.CompletionParser.java,CompletionParser,21,6
org.eclipse.jdt.internal.codeassist.complete.CompletionScanner.java,CompletionScanner,4,1
org.eclipse.jdt.internal.codeassist.complete.InvalidCursorLocation.java,InvalidCursorLocation,1,4
org.eclipse.jdt.internal.codeassist.CompletionEngine.java,CompletionEngine,18,10
org.eclipse.jdt.internal.codeassist.impl.AssistOptions.java,AssistOptions,2,4
org.eclipse.jdt.internal.codeassist.impl.AssistParser.java,AssistParser,11,2
org.eclipse.jdt.internal.codeassist.impl.Engine.java,Engine,5,0
org.eclipse.jdt.internal.codeassist.select.SelectionNodeFound.java,SelectionNodeFound,1,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnArgumentName.java,SelectionOnArgumentName,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnExplicitConstructorCall.java,SelectionOnExplicitConstructorCall,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnFieldReference.java,SelectionOnFieldReference,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnFieldType.java,SelectionOnFieldType,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnImportReference.java,SelectionOnImportReference,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnLocalName.java,SelectionOnLocalName,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnMessageSend.java,SelectionOnMessageSend,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnPackageReference.java,SelectionOnPackageReference,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnQualifiedAllocationExpression.java,SelectionOnQualifiedAllocationExpression,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnQualifiedNameReference.java,SelectionOnQualifiedNameReference,1,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnQualifiedSuperReference.java,SelectionOnQualifiedSuperReference,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnQualifiedTypeReference.java,SelectionOnQualifiedTypeReference,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnSingleNameReference.java,SelectionOnSingleNameReference,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnSingleTypeReference.java,SelectionOnSingleTypeReference,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnSuperReference.java,SelectionOnSuperReference,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionParser.java,SelectionParser,2,2
org.eclipse.jdt.internal.codeassist.select.SelectionScanner.java,SelectionScanner,3,0
org.eclipse.jdt.internal.codeassist.SelectionEngine.java,SelectionEngine,11,1
org.eclipse.jdt.internal.compiler.AbstractSyntaxTreeVisitorAdapter.java,AbstractSyntaxTreeVisitorAdapter,0,0
org.eclipse.jdt.internal.compiler.ast.AbstractMethodDeclaration.java,AbstractMethodDeclaration,16,0
org.eclipse.jdt.internal.compiler.ast.AbstractVariableDeclaration.java,AbstractVariableDeclaration,8,0
org.eclipse.jdt.internal.compiler.ast.AllocationExpression.java,AllocationExpression,4,0
org.eclipse.jdt.internal.compiler.ast.AND_AND_Expression.java,AND_AND_Expression,2,0
org.eclipse.jdt.internal.compiler.ast.AnonymousLocalTypeDeclaration.java,AnonymousLocalTypeDeclaration,1,1
org.eclipse.jdt.internal.compiler.ast.Argument.java,Argument,0,0
org.eclipse.jdt.internal.compiler.ast.ArrayAllocationExpression.java,ArrayAllocationExpression,4,0
org.eclipse.jdt.internal.compiler.ast.ArrayInitializer.java,ArrayInitializer,2,0
org.eclipse.jdt.internal.compiler.ast.ArrayQualifiedTypeReference.java,ArrayQualifiedTypeReference,1,0
org.eclipse.jdt.internal.compiler.ast.ArrayReference.java,ArrayReference,3,0
org.eclipse.jdt.internal.compiler.ast.ArrayTypeReference.java,ArrayTypeReference,1,0
org.eclipse.jdt.internal.compiler.ast.AssertStatement.java,AssertStatement,4,0
org.eclipse.jdt.internal.compiler.ast.Assignment.java,Assignment,3,0
org.eclipse.jdt.internal.compiler.ast.AstNode.java,AstNode,3,14
org.eclipse.jdt.internal.compiler.ast.BinaryExpression.java,BinaryExpression,3,0
org.eclipse.jdt.internal.compiler.ast.Block.java,Block,3,1
org.eclipse.jdt.internal.compiler.ast.BranchStatement.java,BranchStatement,3,0
org.eclipse.jdt.internal.compiler.ast.Break.java,Break,0,0
org.eclipse.jdt.internal.compiler.ast.Case.java,Case,2,0
org.eclipse.jdt.internal.compiler.ast.CastExpression.java,CastExpression,4,0
org.eclipse.jdt.internal.compiler.ast.CharLiteral.java,CharLiteral,1,0
org.eclipse.jdt.internal.compiler.ast.ClassLiteralAccess.java,ClassLiteralAccess,3,0
org.eclipse.jdt.internal.compiler.ast.Clinit.java,Clinit,2,1
org.eclipse.jdt.internal.compiler.ast.CompilationUnitDeclaration.java,CompilationUnitDeclaration,10,0
org.eclipse.jdt.internal.compiler.ast.CompoundAssignment.java,CompoundAssignment,2,0
org.eclipse.jdt.internal.compiler.ast.ConditionalExpression.java,ConditionalExpression,7,0
org.eclipse.jdt.internal.compiler.ast.ConstructorDeclaration.java,ConstructorDeclaration,3,1
org.eclipse.jdt.internal.compiler.ast.Continue.java,Continue,0,0
org.eclipse.jdt.internal.compiler.ast.DefaultCase.java,DefaultCase,1,0
org.eclipse.jdt.internal.compiler.ast.DoStatement.java,DoStatement,5,0
org.eclipse.jdt.internal.compiler.ast.DoubleLiteral.java,DoubleLiteral,1,0
org.eclipse.jdt.internal.compiler.ast.EmptyStatement.java,EmptyStatement,0,0
org.eclipse.jdt.internal.compiler.ast.EqualExpression.java,EqualExpression,0,0
org.eclipse.jdt.internal.compiler.ast.ExplicitConstructorCall.java,ExplicitConstructorCall,7,3
