file,NOF_num,NOF_max,NOF_total,NSF_num,NSF_max,NSF_total,NOM_num,NOM_max,NOM_total,NSM_num,NSM_max,NSM_total,NOI,NOT,TLOC,pre,post,NOF_avg,NSF_avg,NOM_avg,NSM_avg
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\Entities.java,1,0,0,1,2,2,1,0,0,1,3,3,0,1,365,0.0,0.0,0.0,2.0,0.0,3.0
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\HTMLParser.java,4,41,45,4,2,2,4,33,34,4,1,1,0,4,768,2.0,0.0,11.25,0.5,8.5,0.25
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\HTMLParserConstants.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,80,0.0,0.0,,,,
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\HTMLParserTokenManager.java,1,11,11,1,8,8,1,52,52,1,1,1,0,1,1683,0.0,0.0,11.0,8.0,52.0,1.0
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\ParseException.java,1,5,5,1,0,0,1,2,2,1,0,0,0,1,192,0.0,0.0,5.0,0.0,2.0,0.0
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\ParserThread.java,1,1,1,1,0,0,1,1,1,1,0,0,0,1,95,0.0,0.0,1.0,0.0,1.0,0.0
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\SimpleCharStream.java,1,14,14,1,1,1,1,22,22,1,0,0,0,1,401,0.0,0.0,14.0,1.0,22.0,0.0
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\Tags.java,1,0,0,1,1,1,1,0,0,1,0,0,0,1,101,0.0,0.0,0.0,1.0,0.0,0.0
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\Token.java,1,8,8,1,0,0,1,1,1,1,1,1,0,1,81,0.0,0.0,8.0,0.0,1.0,1.0
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\TokenMgrError.java,1,1,1,1,4,4,1,1,1,1,2,2,0,1,133,0.0,0.0,1.0,4.0,1.0,2.0
