plugin,package,NOF_num,NOF_total,NSF_num,NSF_total,NOM_num,NOM_total,NSM_num,NSM_total,NOI,NOT,TLOC,num_of_bug,NOF_max,NSF_max,NOM_max,NSM_max,buggy,NOF_avg,NSF_avg,NOM_avg,NSM_avg
org.apache.lucene,org.apache.lucene.demo.html,12,85,12,18,12,113,12,8,1,12,3899,0.0,41,8,52,3,False,7.083333333333333,1.5,9.416666666666666,0.6666666666666666
org.eclipse.ant.core,org.eclipse.ant.core,9,44,9,19,9,135,9,3,2,9,2858,0.0,18,18,78,2,False,4.888888888888889,2.111111111111111,15.0,0.3333333333333333
org.eclipse.ant.core,org.eclipse.ant.internal.core,5,11,5,3,5,25,5,1,1,5,467,0.0,6,2,13,1,False,2.2,0.6,5.0,0.2
org.eclipse.ant.core,org.eclipse.ant.internal.core.ant,9,38,9,2,9,128,9,1,0,9,2471,0.0,24,2,58,1,False,4.222222222222222,0.2222222222222222,14.222222222222221,0.1111111111111111
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.antsupport,7,23,7,5,7,74,7,4,0,7,1698,0.0,22,2,38,2,False,3.2857142857142856,0.7142857142857143,10.571428571428571,0.5714285714285714
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.antsupport.inputhandler,1,0,1,0,1,4,1,0,0,1,69,0.0,0,0,4,0,False,0.0,0.0,4.0,0.0
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.antsupport.logger,4,16,4,3,4,44,4,0,0,4,799,0.0,8,3,16,0,False,4.0,0.75,11.0,0.0
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.console,4,11,4,0,4,17,4,0,0,4,467,0.0,6,0,7,0,False,2.75,0.0,4.25,0.0
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.datatransfer,5,7,5,3,5,40,5,1,0,5,798,0.0,6,2,26,1,False,1.4,0.6,8.0,0.2
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.dtd,5,4,5,5,5,12,5,1,6,5,614,0.0,2,3,9,1,False,0.8,1.0,2.4,0.2
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.dtd.schema,12,51,12,11,12,95,12,26,0,12,1889,0.0,8,2,18,13,False,4.25,0.9166666666666666,7.916666666666667,2.1666666666666665
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.dtd.util,10,13,10,5,10,60,10,6,4,10,825,0.0,4,3,25,5,False,1.3,0.5,6.0,0.6
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.editor,13,47,13,27,13,197,13,2,0,13,3921,0.0,12,12,64,1,False,3.6153846153846154,2.076923076923077,15.153846153846153,0.15384615384615385
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.editor.derived,6,21,6,5,6,35,6,12,0,6,931,0.0,7,3,12,12,False,3.5,0.8333333333333334,5.833333333333333,2.0
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.editor.formatter,19,43,19,5,19,154,19,22,0,19,1533,0.0,11,2,35,12,False,2.263157894736842,0.2631578947368421,8.105263157894736,1.1578947368421053
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.editor.model,8,25,8,2,8,80,8,2,1,8,1254,0.0,15,2,44,1,False,3.125,0.25,10.0,0.25
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.editor.outline,23,64,23,12,23,193,23,4,3,23,3031,0.0,24,4,82,1,False,2.782608695652174,0.5217391304347826,8.391304347826088,0.17391304347826086
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.editor.templates,11,5,11,4,11,26,11,1,0,11,624,0.0,2,2,5,1,False,0.45454545454545453,0.36363636363636365,2.3636363636363638,0.09090909090909091
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.editor.text,26,41,26,12,26,128,26,2,3,26,2489,3.0,11,5,24,1,True,1.5769230769230769,0.46153846153846156,4.923076923076923,0.07692307692307693
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.editor.tools,1,3,1,16,1,11,1,1,0,1,336,0.0,3,16,11,1,False,3.0,16.0,11.0,1.0
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.editor.utils,9,5,9,12,9,60,9,6,0,9,671,0.0,3,10,33,4,False,0.5555555555555556,1.3333333333333333,6.666666666666667,0.6666666666666666
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.launchConfigurations,39,82,39,29,39,278,39,19,1,39,5799,0.0,13,5,34,7,False,2.1025641025641026,0.7435897435897436,7.128205128205129,0.48717948717948717
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.model,7,6,7,22,7,19,7,44,3,7,1572,0.0,3,8,10,18,False,0.8571428571428571,3.142857142857143,2.7142857142857144,6.285714285714286
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.preferences,43,182,43,51,43,509,43,7,2,43,8252,2.0,27,27,58,4,True,4.232558139534884,1.186046511627907,11.837209302325581,0.16279069767441862
