file,NOF_num,NOF_max,NOF_total,NSF_num,NSF_max,NSF_total,NOM_num,NOM_max,NOM_total,NSM_num,NSM_max,NSM_total,NOI,NOT,TLOC,num_of_bug,buggy,NOF_avg,NSF_avg,NOM_avg,NSM_avg
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\Entities.java,1,0,0,1,2,2,1,0,0,1,3,3,0,1,327,0.0,False,0.0,2.0,0.0,3.0
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\HTMLParser.java,4,42,46,4,3,4,4,34,35,4,1,1,0,4,780,0.0,False,11.5,1.0,8.75,0.25
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\HTMLParserConstants.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,80,0.0,False,,,,
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\HTMLParserTokenManager.java,1,11,11,1,8,8,1,52,52,1,1,1,0,1,1683,0.0,False,11.0,8.0,52.0,1.0
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\ParseException.java,1,5,5,1,1,1,1,2,2,1,0,0,0,1,193,0.0,False,5.0,1.0,2.0,0.0
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\ParserThread.java,1,1,1,1,0,0,1,1,1,1,0,0,0,1,57,0.0,False,1.0,0.0,1.0,0.0
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\SimpleCharStream.java,1,14,14,1,1,1,1,22,22,1,0,0,0,1,401,0.0,False,14.0,1.0,22.0,0.0
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\Tags.java,1,0,0,1,1,1,1,0,0,1,0,0,0,1,63,0.0,False,0.0,1.0,0.0,0.0
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\Token.java,1,8,8,1,0,0,1,1,1,1,1,1,0,1,81,0.0,False,8.0,0.0,1.0,1.0
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\TokenMgrError.java,1,1,1,1,5,5,1,1,1,1,2,2,0,1,134,0.0,False,1.0,5.0,1.0,2.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\core\AntCorePlugin.java,1,1,1,1,18,18,1,9,9,1,2,2,0,1,297,1.0,True,1.0,18.0,9.0,2.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\core\AntCorePreferences.java,3,21,24,3,0,0,3,91,98,3,0,0,0,3,1697,0.0,False,8.0,0.0,32.666666666666664,0.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\core\AntRunner.java,1,11,11,1,1,1,1,23,23,1,1,1,0,1,563,1.0,True,11.0,1.0,23.0,1.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\core\AntSecurityException.java,1,0,0,1,1,1,1,0,0,1,0,0,0,1,25,1.0,True,0.0,1.0,0.0,0.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\core\IAntClasspathEntry.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44,1.0,True,,,,
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\core\IAntPropertyValueProvider.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,1.0,True,,,,
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\core\ProjectInfo.java,1,2,2,1,0,0,1,2,2,1,0,0,0,1,56,1.0,True,2.0,0.0,2.0,0.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\core\Property.java,1,7,7,1,0,0,1,14,14,1,0,0,0,1,208,1.0,True,7.0,0.0,14.0,0.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\core\TargetInfo.java,1,5,5,1,0,0,1,8,8,1,0,0,0,1,116,1.0,True,5.0,0.0,8.0,0.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\core\Task.java,1,0,0,1,0,0,1,2,2,1,0,0,0,1,38,1.0,True,0.0,0.0,2.0,0.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\core\Type.java,1,0,0,1,0,0,1,2,2,1,0,0,0,1,38,1.0,True,0.0,0.0,2.0,0.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\internal\core\AbstractEclipseBuildLogger.java,1,1,1,1,1,1,1,1,1,1,0,0,0,1,30,0.0,False,1.0,1.0,1.0,0.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\internal\core\AntClassLoader.java,1,3,3,1,1,1,1,5,5,1,0,0,0,1,97,0.0,False,3.0,1.0,5.0,0.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\internal\core\AntClasspathEntry.java,1,3,3,1,0,0,1,7,7,1,0,0,0,1,103,0.0,False,3.0,0.0,7.0,0.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\internal\core\AntCoreUtil.java,1,0,0,1,1,1,1,0,0,1,7,7,0,1,155,0.0,False,0.0,1.0,0.0,7.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\internal\core\AntObject.java,1,6,6,1,0,0,1,13,13,1,0,0,0,1,144,0.0,False,6.0,0.0,13.0,0.0
