plugin,package,NOF_num,NOF_total,NSF_num,NSF_total,NOM_num,NOM_total,NSM_num,NSM_total,NOI,NOT,TLOC,num_of_bug,NOF_max,NSF_max,NOM_max,NSM_max,buggy,NOF_avg,NSF_avg,NOM_avg,NSM_avg
org.apache.lucene,org.apache.lucene.demo.html,12,86,12,22,12,114,12,8,1,12,3799,0.0,42,8,52,3,False,7.166666666666667,1.8333333333333333,9.5,0.6666666666666666
org.eclipse.ant.core,org.eclipse.ant.core,11,50,11,20,11,158,11,3,2,11,3112,10.0,21,18,91,2,True,4.545454545454546,1.8181818181818181,14.363636363636363,0.2727272727272727
org.eclipse.ant.core,org.eclipse.ant.internal.core,8,16,8,17,8,61,8,7,1,8,1042,1.0,6,13,34,7,True,2.0,2.125,7.625,0.875
org.eclipse.ant.core,org.eclipse.ant.internal.core.ant,13,38,13,66,13,101,13,0,0,13,2338,5.0,25,65,57,0,True,2.923076923076923,5.076923076923077,7.769230769230769,0.0
org.eclipse.ant.core,org.eclipse.ant.internal.core.contentDescriber,3,5,3,5,3,13,3,0,0,3,297,1.0,5,4,9,0,True,1.6666666666666667,1.6666666666666667,4.333333333333333,0.0
org.eclipse.ant.ui,org.eclipse.ant.internal.ui,12,16,12,28,12,42,12,48,3,12,2233,6.0,6,8,13,28,True,1.3333333333333333,2.3333333333333335,3.5,4.0
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.antsupport,10,25,10,19,10,79,10,3,0,10,1869,1.0,22,13,38,2,True,2.5,1.9,7.9,0.3
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.antsupport.inputhandler,4,8,4,0,4,21,4,0,0,4,336,2.0,7,0,14,0,True,2.0,0.0,5.25,0.0
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.antsupport.logger,5,24,5,4,5,62,5,0,0,5,1176,0.0,11,4,17,0,False,4.8,0.8,12.4,0.0
org.eclipse.ant.ui,org.eclipse.ant.internal.ui.antsupport.logger.debug,3,12,3,1,3,24,3,0,0,3,427,0.0,9,1,16,0,False,4.0,0.3333333333333333,8.0,0.0
