file,NOF_avg,NOF_max,NOF_total,NSF_avg,NSF_max,NSF_total
$packageName$.$actionClass$.java,0.0,0,0,0.0,0,0
$packageName$.$contributorClassName$.java,2.0,2,2,0.0,0,0
$packageName$.$editorClass$.java,1.0,1,1,0.0,0,0
$packageName$.$editorClassName$.java,3.0,3,3,0.0,0,0
$packageName$.$wizardClassName$.java,2.0,2,2,0.0,0,0
$packageName$.$wizardPageClassName$.java,3.0,3,3,0.0,0,0
$packageName$.ColorManager.java,1.0,1,1,0.0,0,0
$packageName$.IXMLColorConstants.java,1,0,0,1,0,0
$packageName$.NonRuleBasedDamagerRepairer.java,2.0,2,2,0.0,0,0
$packageName$.TagRule.java,0.0,0,0,0.0,0,0
$packageName$.XMLConfiguration.java,4.0,4,4,0.0,0,0
$packageName$.XMLDocumentProvider.java,0.0,0,0,0.0,0,0
$packageName$.XMLDoubleClickStrategy.java,1.0,1,1,0.0,0,0
$packageName$.XMLPartitionScanner.java,0.0,0,0,3.0,3,3
$packageName$.XMLScanner.java,0.0,0,0,0.0,0,0
$packageName$.XMLTagScanner.java,0.0,0,0,0.0,0,0
$packageName$.XMLWhitespaceDetector.java,0.0,0,0,0.0,0,0
com.sun.jdi.AbsentInformationException.java,0.0,0,0,0.0,0,0
com.sun.jdi.Accessible.java,1,0,0,1,0,0
com.sun.jdi.ArrayReference.java,1,0,0,1,0,0
com.sun.jdi.ArrayType.java,1,0,0,1,0,0
com.sun.jdi.BooleanType.java,1,0,0,1,0,0
com.sun.jdi.BooleanValue.java,1,0,0,1,0,0
com.sun.jdi.Bootstrap.java,0.0,0,0,0.0,0,0
com.sun.jdi.ByteType.java,1,0,0,1,0,0
com.sun.jdi.ByteValue.java,1,0,0,1,0,0
com.sun.jdi.CharType.java,1,0,0,1,0,0
com.sun.jdi.CharValue.java,1,0,0,1,0,0
com.sun.jdi.ClassLoaderReference.java,1,0,0,1,0,0
com.sun.jdi.ClassNotLoadedException.java,1.0,1,1,0.0,0,0
com.sun.jdi.ClassNotPreparedException.java,0.0,0,0,0.0,0,0
com.sun.jdi.ClassObjectReference.java,1,0,0,1,0,0
com.sun.jdi.ClassType.java,1,0,0,1,0,0
com.sun.jdi.connect.AttachingConnector.java,1,0,0,1,0,0
com.sun.jdi.connect.Connector.java,1,0,0,1,0,0
com.sun.jdi.connect.IllegalConnectorArgumentsException.java,1.0,1,1,0.0,0,0
com.sun.jdi.connect.LaunchingConnector.java,1,0,0,1,0,0
com.sun.jdi.connect.ListeningConnector.java,1,0,0,1,0,0
com.sun.jdi.connect.spi.ClosedConnectionException.java,0.0,0,0,0.0,0,0
com.sun.jdi.connect.spi.Connection.java,0.0,0,0,0.0,0,0
com.sun.jdi.connect.spi.TransportService.java,0.0,0,0,0.0,0,0
com.sun.jdi.connect.Transport.java,1,0,0,1,0,0
com.sun.jdi.connect.TransportTimeoutException.java,0.0,0,0,0.0,0,0
com.sun.jdi.connect.VMStartException.java,1.0,1,1,0.0,0,0
com.sun.jdi.DoubleType.java,1,0,0,1,0,0
com.sun.jdi.DoubleValue.java,1,0,0,1,0,0
com.sun.jdi.event.AccessWatchpointEvent.java,1,0,0,1,0,0
com.sun.jdi.event.BreakpointEvent.java,1,0,0,1,0,0
com.sun.jdi.event.ClassPrepareEvent.java,1,0,0,1,0,0
com.sun.jdi.event.ClassUnloadEvent.java,1,0,0,1,0,0
com.sun.jdi.event.Event.java,1,0,0,1,0,0
com.sun.jdi.event.EventIterator.java,1,0,0,1,0,0
com.sun.jdi.event.EventQueue.java,1,0,0,1,0,0
com.sun.jdi.event.EventSet.java,1,0,0,1,0,0
com.sun.jdi.event.ExceptionEvent.java,1,0,0,1,0,0
com.sun.jdi.event.LocatableEvent.java,1,0,0,1,0,0
com.sun.jdi.event.MethodEntryEvent.java,1,0,0,1,0,0
com.sun.jdi.event.MethodExitEvent.java,1,0,0,1,0,0
com.sun.jdi.event.ModificationWatchpointEvent.java,1,0,0,1,0,0
com.sun.jdi.event.StepEvent.java,1,0,0,1,0,0
com.sun.jdi.event.ThreadDeathEvent.java,1,0,0,1,0,0
com.sun.jdi.event.ThreadStartEvent.java,1,0,0,1,0,0
com.sun.jdi.event.VMDeathEvent.java,1,0,0,1,0,0
com.sun.jdi.event.VMDisconnectEvent.java,1,0,0,1,0,0
com.sun.jdi.event.VMStartEvent.java,1,0,0,1,0,0
com.sun.jdi.event.WatchpointEvent.java,1,0,0,1,0,0
com.sun.jdi.Field.java,1,0,0,1,0,0
com.sun.jdi.FloatType.java,1,0,0,1,0,0
com.sun.jdi.FloatValue.java,1,0,0,1,0,0
com.sun.jdi.IncompatibleThreadStateException.java,0.0,0,0,0.0,0,0
com.sun.jdi.InconsistentDebugInfoException.java,0.0,0,0,0.0,0,0
com.sun.jdi.IntegerType.java,1,0,0,1,0,0
com.sun.jdi.IntegerValue.java,1,0,0,1,0,0
com.sun.jdi.InterfaceType.java,1,0,0,1,0,0
