file,num_of_anony,num_of_interface,num_of_class,line_of_code
plugins\org.apache.lucene\src\org\apache\lucene\demo\html\Entities.java,??,0,1,365
plugins\org.apache.lucene\src\org\apache\lucene\demo\html\HTMLParser.java,??,0,4,768
plugins\org.apache.lucene\src\org\apache\lucene\demo\html\HTMLParserConstants.java,??,1,0,80
plugins\org.apache.lucene\src\org\apache\lucene\demo\html\HTMLParserTokenManager.java,??,0,1,1683
plugins\org.apache.lucene\src\org\apache\lucene\demo\html\ParseException.java,??,0,1,192
plugins\org.apache.lucene\src\org\apache\lucene\demo\html\ParserThread.java,??,0,1,95
plugins\org.apache.lucene\src\org\apache\lucene\demo\html\SimpleCharStream.java,??,0,1,401
plugins\org.apache.lucene\src\org\apache\lucene\demo\html\Tags.java,??,0,1,101
plugins\org.apache.lucene\src\org\apache\lucene\demo\html\Token.java,??,0,1,81
plugins\org.apache.lucene\src\org\apache\lucene\demo\html\TokenMgrError.java,??,0,1,133
plugins\org.eclipse.ant.core\src\org\eclipse\ant\core\AntCorePlugin.java,??,0,1,254
plugins\org.eclipse.ant.core\src\org\eclipse\ant\core\AntCorePreferences.java,??,0,1,1500
plugins\org.eclipse.ant.core\src\org\eclipse\ant\core\AntRunner.java,??,0,1,557
plugins\org.eclipse.ant.core\src\org\eclipse\ant\core\AntSecurityException.java,??,0,1,22
plugins\org.eclipse.ant.core\src\org\eclipse\ant\core\IAntClasspathEntry.java,??,1,0,43
plugins\org.eclipse.ant.core\src\org\eclipse\ant\core\IAntPropertyValueProvider.java,??,1,0,30
plugins\org.eclipse.ant.core\src\org\eclipse\ant\core\ProjectInfo.java,??,0,1,55
plugins\org.eclipse.ant.core\src\org\eclipse\ant\core\Property.java,??,0,1,208
plugins\org.eclipse.ant.core\src\org\eclipse\ant\core\TargetInfo.java,??,0,1,115
plugins\org.eclipse.ant.core\src\org\eclipse\ant\core\Task.java,??,0,1,37
plugins\org.eclipse.ant.core\src\org\eclipse\ant\core\Type.java,??,0,1,37
plugins\org.eclipse.ant.core\src\org\eclipse\ant\internal\core\AntClassLoader.java,??,0,1,82
plugins\org.eclipse.ant.core\src\org\eclipse\ant\internal\core\AntClasspathEntry.java,??,0,1,103
plugins\org.eclipse.ant.core\src\org\eclipse\ant\internal\core\AntObject.java,??,0,1,144
plugins\org.eclipse.ant.core\src\org\eclipse\ant\internal\core\AntPropertyValueProvider.java,??,0,1,59
plugins\org.eclipse.ant.core\src\org\eclipse\ant\internal\core\IAntCoreConstants.java,??,1,0,46
plugins\org.eclipse.ant.core\src\org\eclipse\ant\internal\core\InternalCoreAntMessages.java,??,0,1,33
plugins\org.eclipse.ant.core\src_ant\org\eclipse\ant\internal\core\ant\AntSecurityManager.java,??,0,1,352
plugins\org.eclipse.ant.core\src_ant\org\eclipse\ant\internal\core\ant\DemuxInputStreamSetter.java,??,0,1,26
plugins\org.eclipse.ant.core\src_ant\org\eclipse\ant\internal\core\ant\InputHandlerSetter.java,??,0,1,44
plugins\org.eclipse.ant.core\src_ant\org\eclipse\ant\internal\core\ant\InternalAntMessages.java,??,0,1,33
plugins\org.eclipse.ant.core\src_ant\org\eclipse\ant\internal\core\ant\InternalAntRunner.java,??,0,1,1509
plugins\org.eclipse.ant.core\src_ant\org\eclipse\ant\internal\core\ant\InternalProject.java,??,0,1,179
plugins\org.eclipse.ant.core\src_ant\org\eclipse\ant\internal\core\ant\NullInputHandler.java,??,0,1,33
plugins\org.eclipse.ant.core\src_ant\org\eclipse\ant\internal\core\ant\ProgressBuildListener.java,??,0,2,295
plugins\org.eclipse.ant.ui\Ant Editor Content Assist Dev\TaskXMLFileMerger.java,??,0,1,336
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\AntDTDMessages.java,??,0,1,33
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\IAtom.java,??,1,0,31
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\IAttribute.java,??,1,0,64
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\IDfm.java,??,1,0,86
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\IElement.java,??,1,0,64
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\IModel.java,??,1,0,78
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\ISchema.java,??,1,0,33
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\ParseError.java,??,0,1,25
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\Parser.java,??,0,3,200
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\schema\AntDTDSchemaMessages.java,??,0,1,33
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\schema\Atom.java,??,0,1,36
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\schema\Attribute.java,??,0,1,114
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\schema\Dfm.java,??,0,1,170
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\schema\Element.java,??,0,1,179
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\schema\Model.java,??,0,1,247
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\schema\Nfm.java,??,0,1,289
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\schema\NfmNode.java,??,0,1,113
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\schema\NfmParser.java,??,0,2,356
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\schema\Schema.java,??,0,1,67
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\schema\SchemaFactory.java,??,0,1,285
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\AntDTDUtilMessages.java,??,0,1,33
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\Factory.java,??,0,2,68
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\FactoryObject.java,??,1,0,22
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\IKeyHolder.java,??,1,0,21
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\IMapHolder.java,??,1,0,18
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\IValueHolder.java,??,1,0,21
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\MapHolder.java,??,0,1,48
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\SortedMap.java,??,0,2,268
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\SortedMapFactory.java,??,0,3,66
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\SortedSet.java,??,0,1,260
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\AbstractAntSourceViewerConfiguration.java,??,0,1,178
