file,commitNo,date,bugID,releaseNo,Date,Changed,Changed-Date
eclipse\org.eclipse.equinox.ds\src\org\eclipse\equinox\ds\parser\Attic\Parser.java,1.4,2006-05-24,143576,R3_2_2,2007-03-01,2007-06-07,98 days 00:00:00.000000000
eclipse\e4\org.eclipse.e4.resources\bundles\org.eclipse.core.resources\src\org\eclipse\core\internal\localstore\UnifiedTree.java,1.45.2.1,2008-08-22,232426,R3_4_1,2008-09-24,2008-10-16,22 days 00:00:00.000000000
eclipse\e4\org.eclipse.e4.resources\bundles\org.eclipse.core.resources\src\org\eclipse\core\internal\refresh\RefreshJob.java,1.15.8.1,2008-08-22,232426,R3_4_1,2008-09-24,2008-10-16,22 days 00:00:00.000000000
eclipse\e4\org.eclipse.e4.resources\tests\org.eclipse.core.tests.resources\src\org\eclipse\core\tests\internal\localstore\AllTests.java,1.17.2.1,2008-08-22,232426,R3_4_1,2008-09-24,2008-10-16,22 days 00:00:00.000000000
eclipse\e4\org.eclipse.e4.resources\tests\org.eclipse.core.tests.resources\src\org\eclipse\core\tests\internal\localstore\SymlinkResourceTest.java,1.1.2.2,2008-08-22,232426,R3_4_1,2008-09-24,2008-10-16,22 days 00:00:00.000000000
eclipse\org.eclipse.core.resources\src\org\eclipse\core\internal\localstore\UnifiedTree.java,1.45.2.1,2008-08-22,232426,R3_4_1,2008-09-24,2008-10-16,22 days 00:00:00.000000000
eclipse\org.eclipse.core.resources\src\org\eclipse\core\internal\refresh\RefreshJob.java,1.15.8.1,2008-08-22,232426,R3_4_1,2008-09-24,2008-10-16,22 days 00:00:00.000000000
eclipse\org.eclipse.core.tests.harness\src\org\eclipse\core\tests\harness\CoreTest.java,1.17.2.1,2008-08-22,232426,R3_4_1,2008-09-24,2008-10-16,22 days 00:00:00.000000000
eclipse\org.eclipse.core.tests.resources\src\org\eclipse\core\tests\internal\localstore\AllTests.java,1.17.2.1,2008-08-22,232426,R3_4_1,2008-09-24,2008-10-16,22 days 00:00:00.000000000
eclipse\org.eclipse.core.tests.resources\src\org\eclipse\core\tests\internal\localstore\SymlinkResourceTest.java,1.1.2.2,2008-08-22,232426,R3_4_1,2008-09-24,2008-10-16,22 days 00:00:00.000000000
eclipse\e4\org.eclipse.e4.resources\bundles\org.eclipse.core.resources\src\org\eclipse\core\internal\localstore\UnifiedTree.java,1.45,2007-11-30,210770,R3_4,2008-06-25,2008-09-15,82 days 00:00:00.000000000
eclipse\e4\org.eclipse.e4.resources\bundles\org.eclipse.core.resources\src\org\eclipse\core\internal\resources\Container.java,1.46,2007-11-30,210770,R3_4,2008-06-25,2008-09-15,82 days 00:00:00.000000000
eclipse\e4\org.eclipse.e4.resources\bundles\org.eclipse.core.resources\src\org\eclipse\core\internal\resources\ICoreConstants.java,1.29,2007-11-30,210770,R3_4,2008-06-25,2008-09-15,82 days 00:00:00.000000000
eclipse\e4\org.eclipse.e4.resources\bundles\org.eclipse.core.resources\src\org\eclipse\core\internal\resources\MarkerManager.java,1.49,2007-11-30,210770,R3_4,2008-06-25,2008-09-15,82 days 00:00:00.000000000
eclipse\e4\org.eclipse.e4.resources\bundles\org.eclipse.core.resources\src\org\eclipse\core\internal\resources\ResourceProxy.java,1.9,2007-11-30,210770,R3_4,2008-06-25,2008-09-15,82 days 00:00:00.000000000
eclipse\e4\org.eclipse.e4.resources\tests\org.eclipse.core.tests.resources\src\org\eclipse\core\tests\resources\AllTests.java,1.23,2007-11-30,210770,R3_4,2008-06-25,2008-09-15,82 days 00:00:00.000000000
eclipse\e4\org.eclipse.e4.resources\tests\org.eclipse.core.tests.resources\src\org\eclipse\core\tests\resources\HiddenResourceTest.java,1.1,2007-11-30,210770,R3_4,2008-06-25,2008-09-15,82 days 00:00:00.000000000
eclipse\e4\org.eclipse.e4.resources\tests\org.eclipse.core.tests.resources\src\org\eclipse\core\tests\resources\IProjectTest.java,1.40,2007-11-30,210770,R3_4,2008-06-25,2008-09-15,82 days 00:00:00.000000000
eclipse\e4\org.eclipse.e4.resources\tests\org.eclipse.core.tests.resources\src\org\eclipse\core\tests\resources\ResourceDeltaVerifier.java,1.15,2007-11-30,210770,R3_4,2008-06-25,2008-09-15,82 days 00:00:00.000000000
eclipse\org.eclipse.core.resources\src\org\eclipse\core\internal\localstore\UnifiedTree.java,1.45,2007-11-30,210770,R3_4,2008-06-25,2008-09-15,82 days 00:00:00.000000000
eclipse\org.eclipse.core.resources\src\org\eclipse\core\internal\resources\Container.java,1.46,2007-11-30,210770,R3_4,2008-06-25,2008-09-15,82 days 00:00:00.000000000
eclipse\org.eclipse.core.resources\src\org\eclipse\core\internal\resources\ICoreConstants.java,1.29,2007-11-30,210770,R3_4,2008-06-25,2008-09-15,82 days 00:00:00.000000000
eclipse\org.eclipse.core.resources\src\org\eclipse\core\internal\resources\MarkerManager.java,1.49,2007-11-30,210770,R3_4,2008-06-25,2008-09-15,82 days 00:00:00.000000000
eclipse\org.eclipse.core.resources\src\org\eclipse\core\internal\resources\ResourceProxy.java,1.9,2007-11-30,210770,R3_4,2008-06-25,2008-09-15,82 days 00:00:00.000000000
eclipse\org.eclipse.core.tests.resources\src\org\eclipse\core\tests\resources\AllTests.java,1.23,2007-11-30,210770,R3_4,2008-06-25,2008-09-15,82 days 00:00:00.000000000
eclipse\org.eclipse.core.tests.resources\src\org\eclipse\core\tests\resources\HiddenResourceTest.java,1.1,2007-11-30,210770,R3_4,2008-06-25,2008-09-15,82 days 00:00:00.000000000
eclipse\org.eclipse.core.tests.resources\src\org\eclipse\core\tests\resources\IProjectTest.java,1.40,2007-11-30,210770,R3_4,2008-06-25,2008-09-15,82 days 00:00:00.000000000
eclipse\org.eclipse.core.tests.resources\src\org\eclipse\core\tests\resources\ResourceDeltaVerifier.java,1.15,2007-11-30,210770,R3_4,2008-06-25,2008-09-15,82 days 00:00:00.000000000
eclipse\e4\org.eclipse.e4.resources\bundles\org.eclipse.core.resources\src\org\eclipse\core\internal\resources\PlatformURLResourceConnection.java,1.15,2006-12-18,123261,R3_3,2007-06-28,2007-07-18,20 days 00:00:00.000000000
eclipse\e4\org.eclipse.e4.resources\tests\org.eclipse.core.tests.resources\src\org\eclipse\core\tests\resources\ResourceURLTest.java,1.15,2006-12-18,123261,R3_3,2007-06-28,2007-07-18,20 days 00:00:00.000000000
eclipse\org.eclipse.core.resources\src\org\eclipse\core\internal\resources\PlatformURLResourceConnection.java,1.15,2006-12-18,123261,R3_3,2007-06-28,2007-07-18,20 days 00:00:00.000000000
eclipse\org.eclipse.core.tests.resources\src\org\eclipse\core\tests\resources\ResourceURLTest.java,1.15,2006-12-18,123261,R3_3,2007-06-28,2007-07-18,20 days 00:00:00.000000000
eclipse\e4\org.eclipse.e4.resources\bundles\org.eclipse.core.resources\src\org\eclipse\core\internal\resources\PlatformURLResourceConnection.java,1.14.2.1,2006-12-18,123261,R3_2_2,2007-03-01,2007-07-18,139 days 00:00:00.000000000
