Version,Date
4.13.0,2019-09-18
4.12.0,2019-06-19
4.11.0,2019-03-20
4.10.0,2018-12-19
4.9.0,2018-09-19
4.8.0,2018-06-27
4.7.3a,2018-04-11
4.7.1a,2017-10-11
4.7.0,2017-06-28
4.6.2,2016-12-21
4.6.0,2016-06-22
4.5.0,2015-06-24
4.4.2,2015-02-27
4.4.1,2014-09-26
4.4.0,2014-06-25
4.3.2,2014-02-28
4.3.1,2013-09-27
4.3.0,2013-06-26
4.2.0,2012-06-27
3.8.0,2012-06-27
3.7.2,2012-02-24
3.7.1,2011-09-23
4.1.1,2011-09-12
4.1.0,2011-06-22
3.7.0,2011-06-22
3.6.2,2011-02-25
3.6.1,2010-09-24
4.0.0,2010-07-28
3.6.0,2010-06-23
3.5.2,2010-02-26
3.5.1,2009-09-25
3.5.0,2009-06-24
3.4.2,2009-02-25
3.4.1,2008-09-24
3.4.0,2008-06-25
3.3.2,2008-02-21
3.3.1,2007-09-28
3.3.0,2007-06-28
3.2.2,2007-03-01
3.2.1,2006-09-28
3.2.0,2006-06-29
3.1.2,2006-01-25
3.1.1,2005-09-28
3.1.0,2005-06-28
3.0.2,2005-03-11
3.0.1,2004-09-16
3.0.0,2004-06-25
2.1.3,2004-03-10
2.1.2,2003-11-03
2.1.1,2003-06-27
2.1.0,2003-03-27
2.0.2,2002-11-07
2.0.1,2002-08-29
2.0.0,2002-06-27
1.0.0,2001-11-07
