fileName,numOfClass,numOfInterface,loc,anonymousClassesQty,numOfStaticMethod,numOfStaticField,numOfMethod,numOfField,methodTotalLoc,methodMaxLoc,methodAverageLoc,totalNestedBlockDepth,maxNestedBlockDepth,averageNestedBlockDepth,totalParameters,maxParameters,averageParameters,totalMcCabe,maxMcCabe,averageMcCabe,totalFanOut,maxFanOut,averageFanOut
org.eclipse.jdt.internal.compiler.lookup.MethodVerifier,1,0,516,0,0,0,33,7,448,115,13.58,34,6,1.03,49,4,1.48,204,44,6.18,142,20,4.3
org.eclipse.jdt.core.IClassFile,0,1,11,0,0,0,7,0,7,1,1.0,-7,-1,-1.0,8,3,1.14,7,1,1.0,0,0,0.0
org.eclipse.jdt.core.search.TypeNameRequestor,1,0,5,0,0,0,1,0,2,2,2.0,0,0,0.0,5,5,5.0,1,1,1.0,0,0,0.0
org.eclipse.jdt.internal.compiler.flow.InsideSubRoutineFlowContext,1,0,35,0,0,0,6,1,28,10,4.67,2,2,0.33,3,2,0.5,9,4,1.5,7,4,1.17
org.eclipse.jdt.internal.core.RenameElementsOperation,1,0,39,0,0,0,5,0,24,8,4.8,0,0,0.0,5,4,1.0,14,7,2.8,8,5,1.6
org.eclipse.jdt.core.dom.ThisExpression,1,0,71,0,1,2,12,3,55,12,4.58,3,2,0.25,11,3,0.92,16,3,1.33,20,6,1.67
org.eclipse.jdt.core.CompletionContext,1,0,84,0,0,3,11,3,79,49,7.18,2,2,0.18,0,0,0.0,18,8,1.64,5,5,0.45
org.eclipse.jdt.core.dom.Expression,1,0,18,0,0,0,5,0,15,3,3.0,0,0,0.0,1,1,0.2,5,1,1.0,8,2,1.6
org.eclipse.jdt.internal.compiler.ast.SuperReference,1,0,41,0,1,0,8,0,32,10,4.0,1,1,0.13,7,2,0.88,10,3,1.25,9,6,1.13
org.eclipse.jdt.internal.codeassist.complete.CompletionOnFieldType,1,0,20,0,0,0,2,1,14,11,7.0,1,1,0.5,4,2,2.0,3,2,1.5,2,2,1.0
org.eclipse.jdt.core.dom.MemberRef,1,0,110,0,1,3,15,5,90,21,6.0,7,3,0.47,12,3,0.8,25,5,1.67,33,8,2.2
org.eclipse.jdt.core.dom.BindingResolver,1,0,141,0,0,0,46,0,134,3,2.91,0,0,0.0,46,2,1.0,46,1,1.0,0,0,0.0
org.eclipse.jdt.internal.codeassist.complete.CompletionJavadoc,1,0,223,0,0,0,9,1,225,58,25.0,16,5,1.78,12,2,1.33,74,20,8.22,21,6,2.33
org.eclipse.jdt.core.search.FieldReferenceMatch,1,0,19,0,0,0,3,2,12,6,4.0,0,0,0.0,9,9,3.0,3,1,1.0,1,1,0.33
