NOT,NOI,TLOC,ACD,NSM,NSF,NOM,NOF,MLOC_total,MLOC_max,NBD_total,NBD_max,PAR_total,PAR_max,VG_total,VG_max,FOUT_total,FOUT_max,file,pre,post,MLOC_avg,NBD_avg,PAR_avg,VG_avg,FOUT_avg
1,0,516,0,0,0,33,7,448,115,34,6,49,4,204,44,142,20,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\MethodVerifier.java,1.0,0.0,13.575757575757576,1.0303030303030303,1.4848484848484849,6.181818181818182,4.303030303030303
0,1,11,0,0,0,7,0,7,1,-7,-1,8,3,7,1,0,0,eclipse\org.eclipse.jdt.core\model\org\eclipse\jdt\core\IClassFile.java,0.0,0.0,1.0,-1.0,1.1428571428571428,1.0,0.0
1,0,5,0,0,0,1,0,2,2,0,0,5,5,1,1,0,0,eclipse\org.eclipse.jdt.core\search\org\eclipse\jdt\core\search\TypeNameRequestor.java,0.0,0.0,2.0,0.0,5.0,1.0,0.0
1,0,35,0,0,0,6,1,28,10,2,2,3,2,9,4,7,4,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\flow\InsideSubRoutineFlowContext.java,0.0,0.0,4.666666666666667,0.3333333333333333,0.5,1.5,1.1666666666666667
1,0,39,0,0,0,5,0,24,8,0,0,5,4,14,7,8,5,eclipse\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\RenameElementsOperation.java,0.0,0.0,4.8,0.0,1.0,2.8,1.6
1,0,71,0,1,2,12,3,55,12,3,2,11,3,16,3,20,6,eclipse\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\ThisExpression.java,0.0,0.0,4.583333333333333,0.25,0.9166666666666666,1.3333333333333333,1.6666666666666667
1,0,84,0,0,3,11,3,79,49,2,2,0,0,18,8,5,5,eclipse\org.eclipse.jdt.core\model\org\eclipse\jdt\core\CompletionContext.java,21.0,0.0,7.181818181818182,0.18181818181818182,0.0,1.6363636363636365,0.45454545454545453
1,0,18,0,0,0,5,0,15,3,0,0,1,1,5,1,8,2,eclipse\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\Expression.java,0.0,0.0,3.0,0.0,0.2,1.0,1.6
1,0,41,0,1,0,8,0,32,10,1,1,7,2,10,3,9,6,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\SuperReference.java,0.0,0.0,4.0,0.125,0.875,1.25,1.125
1,0,20,0,0,0,2,1,14,11,1,1,4,2,3,2,2,2,eclipse\org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\complete\CompletionOnFieldType.java,0.0,0.0,7.0,0.5,2.0,1.5,1.0
1,0,110,0,1,3,15,5,90,21,7,3,12,3,25,5,33,8,eclipse\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\MemberRef.java,0.0,0.0,6.0,0.4666666666666667,0.8,1.6666666666666667,2.2
1,0,141,0,0,0,46,0,134,3,0,0,46,2,46,1,0,0,eclipse\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\BindingResolver.java,0.0,0.0,2.9130434782608696,0.0,1.0,1.0,0.0
1,0,223,0,0,0,9,1,225,58,16,5,12,2,74,20,21,6,eclipse\org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\complete\CompletionJavadoc.java,0.0,0.0,25.0,1.7777777777777777,1.3333333333333333,8.222222222222221,2.3333333333333335
1,0,19,0,0,0,3,2,12,6,0,0,9,9,3,1,1,1,eclipse\org.eclipse.jdt.core\search\org\eclipse\jdt\core\search\FieldReferenceMatch.java,0.0,0.0,4.0,0.0,3.0,1.0,0.3333333333333333
1,0,30,0,0,0,5,2,21,5,0,0,14,6,5,1,3,3,eclipse\org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\complete\CompletionOnStringLiteral.java,0.0,0.0,4.2,0.0,2.8,1.0,0.6
1,0,583,0,0,0,61,9,519,67,31,4,34,6,214,31,111,14,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\MethodBinding.java,8.0,13.0,8.508196721311476,0.5081967213114754,0.5573770491803278,3.5081967213114753,1.819672131147541
1,0,328,0,0,9,8,16,299,84,26,7,19,4,77,20,44,11,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\SyntheticMethodBinding.java,1.0,13.0,37.375,3.25,2.375,9.625,5.5
1,0,88,0,0,0,8,4,67,15,6,2,5,2,27,6,9,3,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\util\HashtableOfType.java,0.0,0.0,8.375,0.75,0.625,3.375,1.125
0,1,21,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\ExtraCompilerModifiers.java,0.0,0.0,,,,,
1,0,177,0,1,6,19,10,140,15,18,3,17,3,40,4,48,12,eclipse\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\VariableDeclarationExpression.java,21.0,0.0,7.368421052631579,0.9473684210526315,0.8947368421052632,2.1052631578947367,2.526315789473684
